State,Year,GDP (Millions of dollars),Population (Number of persons),Personal Income (Dollars),FIPS Code,Total Civilian Non-Institutional Population in State/Area,Total Civilian Labor Force in State/Area,Percent (%) of State/Area's Population,Total Employment in State/Area,Percent (%) of Labor Force Employed in State/Area,Total Unemployment in State/Area,Percent (%) of Labor Force Unemployed in State/Area
Indiana,2015,279385.7,6628556,42149,18.0,5117280.416666667,3266934.8333333335,63.84166666666667,3110406.5,60.775,156528.33333333334,4.783333333333333
Indiana,2014,269159.1,6609839,40721,18.0,5093836.5,3229212.75,63.39166666666667,3037398.0,59.63333333333333,191814.75,5.95
Indiana,2013,259534.8,6581101,39436,18.0,5064442.416666667,3192664.75,63.05833333333334,2953456.5833333335,58.31666666666666,239208.16666666666,7.5
Indiana,2012,256284.7,6546242,39150,18.0,5032521.166666667,3173141.1666666665,63.050000000000004,2912230.3333333335,57.85833333333334,260910.83333333334,8.225
Indiana,2011,245731.2,6521259,37682,18.0,5002729.333333333,3188446.9166666665,63.73333333333333,2904335.9166666665,58.041666666666664,284111.0,8.908333333333333
Indiana,2008,226602.3,6424806,35270,18.0,4874492.0,3245683.8333333335,66.60000000000001,3052751.5,62.63333333333333,192932.33333333334,5.941666666666666
Indiana,2009,220908.7,6459325,34200,18.0,4907391.416666667,3216883.9166666665,65.55,2881483.4166666665,58.725,335400.5,10.433333333333334
Indiana,2007,215919.9,6379599,33845,18.0,4836384.916666667,3203147.0833333335,66.25,3055176.6666666665,63.166666666666664,147970.41666666666,4.625
Indiana,2005,196999.0,6278616,31376,18.0,4752907.833333333,3202414.8333333335,67.375,3030019.0833333335,63.75,172395.75,5.391666666666667
Indiana,2004,191088.3,6233007,30657,18.0,4715526.166666667,3164744.9166666665,67.10833333333333,2993457.75,63.475,171287.16666666666,5.3999999999999995
Indiana,2003,182458.0,6196638,29445,18.0,4687700.5,3177829.5,67.78333333333333,3010517.5833333335,64.21666666666667,167311.91666666666,5.275
Indiana,2002,177918.8,6155967,28902,18.0,4657189.75,3162310.0833333335,67.91666666666667,2998596.1666666665,64.39166666666667,163713.91666666666,5.191666666666666
Indiana,2001,175229.8,6127760,28596,18.0,4630122.5,3143224.1666666665,67.88333333333334,3010259.75,65.02499999999999,132964.41666666666,4.241666666666666
Indiana,2000,171032.1,6091866,28075,18.0,4600535.333333333,3126253.9166666665,67.94166666666666,3030937.0,65.88333333333334,95316.91666666667,3.0500000000000003
Indiana,1998,154521.8,5998880,25758,18.0,4539240.416666667,3121512.5833333335,68.76666666666667,3027751.3333333335,66.70833333333333,93761.25,3.0083333333333333
Indiana,1997,143320.1,5955267,24066,18.0,4510431.833333333,3118675.5,69.14166666666667,3012259.9166666665,66.79166666666667,106415.58333333333,3.4166666666666665
Indiana,1996,136090.9,5906013,23043,18.0,4478039.833333333,3100151.3333333335,69.21666666666667,2977310.0,66.5,122841.33333333333,3.966666666666667
Indiana,1994,123234.3,5793526,21271,18.0,4385755.833333333,3052972.75,69.60833333333333,2910631.3333333335,66.375,142341.41666666666,4.658333333333333
Indiana,1993,115996.3,5739019,20212,18.0,4342363.916666667,2949977.5833333335,67.90833333333333,2799232.1666666665,64.45833333333333,150745.41666666666,5.116666666666666
Indiana,1992,110062.5,5674547,19396,18.0,4289722.0,2859774.5,66.675,2685745.3333333335,62.6,174029.16666666666,6.091666666666666
Indiana,1991,101844.8,5616388,18134,18.0,4242413.333333333,2801824.4166666665,66.03333333333333,2642230.6666666665,62.28333333333333,159593.75,5.7
Indiana,1990,98724.6,5557798,17763,18.0,4182011.4166666665,2809785.0833333335,67.2,2666720.0833333335,63.75833333333333,143065.0,5.108333333333333
Indiana,1989,93483.7,5523679,16924,18.0,4216333.333333333,2851716.0,67.64166666666667,2717072.25,64.45,134643.75,4.716666666666667
Indiana,1987,79994.1,5473023,14616,18.0,4158416.6666666665,2748306.25,66.09166666666667,2579788.8333333335,62.050000000000004,168517.41666666666,6.133333333333333
Indiana,1986,75602.9,5454103,13862,18.0,4120000.0,2740621.5,66.52499999999999,2554259.9166666665,62.00833333333333,186361.58333333334,6.808333333333334
Indiana,1983,61292.8,5450396,11246,18.0,4055750.0,2590391.5833333335,63.88333333333333,2302864.3333333335,56.775,287527.25,11.1
Indiana,1982,58406.0,5467918,10682,18.0,4047750.0,2611411.0833333335,64.52499999999999,2298348.9166666665,56.76666666666667,313062.1666666667,11.983333333333334
Indiana,1981,56385.0,5480440,10288,18.0,4035000.0,2620539.75,64.95,2365838.6666666665,58.63333333333333,254701.08333333334,9.700000000000001
Indiana,1979,47804.3,5474909,8732,18.0,3977750.0,2632583.6666666665,66.16666666666667,2462979.5833333335,61.916666666666664,169604.08333333334,6.433333333333334
Indiana,1978,43398.4,5446403,7968,18.0,3928916.6666666665,2584742.3333333335,65.77499999999999,2441123.3333333335,62.13333333333333,143619.0,5.55
Indiana,1977,38900.9,5405075,7197,18.0,3868416.6666666665,2485406.3333333335,64.24166666666666,2342145.9166666665,60.550000000000004,143260.41666666666,5.766666666666667
Indiana,1976,35131.6,5371552,6540,18.0,3812500.0,2439261.0833333335,63.974999999999994,2292169.75,60.125,147091.33333333334,6.033333333333334
Iowa,1980,28010.1,2914018,9612,19.0,2151250.0,1428561.75,66.40833333333333,1343884.6666666667,62.475,84677.08333333333,5.933333333333334
Iowa,1984,36915.9,2858615,12914,19.0,2160250.0,1421501.5,65.8,1321688.0,61.18333333333334,99813.5,7.0249999999999995
Iowa,2006,101998.6,2982644,34197,19.0,2291210.0,1655780.0833333333,72.25833333333334,1594802.9166666667,69.61666666666666,60977.166666666664,3.6999999999999997
Iowa,2017,147911.5,3162621,46769,19.0,2465307.1666666665,1697559.5,68.85833333333333,1645629.1666666667,66.76666666666667,51930.333333333336,3.0583333333333336
Iowa,1985,38212.6,2829684,13504,19.0,2149083.3333333335,1423910.25,66.24166666666666,1318690.6666666667,61.35833333333333,105219.58333333333,7.375
Iowa,1995,61256.4,2867373,21363,19.0,2177652.0,1588673.8333333333,72.95833333333333,1532814.75,70.39166666666667,55859.083333333336,3.5083333333333333
Iowa,1999,74998.7,2917634,25705,19.0,2224317.5,1593882.75,71.65833333333333,1551329.1666666667,69.74166666666666,42553.583333333336,2.6583333333333337
Iowa,2021,185621.7,3197944,58044,19.0,2510669.5833333335,1690788.25,67.34166666666665,1626599.8333333333,64.78333333333333,64188.416666666664,3.8166666666666664
Iowa,2010,116535.7,3051447,38190,19.0,2358177.0,1674190.6666666667,71.0,1571900.5,66.64999999999999,102290.16666666667,6.116666666666667
Iowa,1988,42726.7,2768393,15434,19.0,2148583.3333333335,1489261.75,69.31666666666666,1420026.3333333333,66.10000000000001,69235.41666666667,4.641666666666667
Iowa,1976,19280.3,2903770,6640,19.0,2081583.3333333333,1338952.9166666667,64.325,1284100.0,61.699999999999996,54852.916666666664,4.083333333333333
Iowa,1977,21275.3,2914308,7300,19.0,2109250.0,1386063.8333333333,65.7,1330383.0,63.074999999999996,55680.833333333336,4.008333333333334
Iowa,1978,24537.2,2919008,8406,19.0,2129333.3333333335,1415365.6666666667,66.47500000000001,1360919.75,63.90833333333333,54445.916666666664,3.841666666666667
Iowa,1979,26300.0,2916803,9017,19.0,2142083.3333333335,1423085.8333333333,66.425,1363558.6666666667,63.65833333333333,59527.166666666664,4.175
Iowa,1981,31683.5,2907985,10895,19.0,2160083.3333333335,1428352.0,66.125,1335057.3333333333,61.80833333333334,93294.66666666667,6.516666666666667
Iowa,1982,32545.0,2888190,11268,19.0,2158583.3333333335,1415603.8333333333,65.58333333333333,1296712.0833333333,60.074999999999996,118891.75,8.4
Iowa,1983,33176.1,2870547,11557,19.0,2159250.0,1417391.5833333333,65.63333333333334,1300917.4166666667,60.25833333333333,116474.16666666667,8.233333333333333
Iowa,1986,39474.4,2791969,14139,19.0,2139500.0,1443101.3333333333,67.45833333333333,1345377.4166666667,62.89166666666667,97723.91666666667,6.766666666666667
Iowa,1987,41225.1,2767006,14899,19.0,2138333.3333333335,1461481.4166666667,68.35000000000001,1379466.3333333333,64.51666666666667,82015.08333333333,5.616666666666667
Iowa,1989,46504.2,2770590,16785,19.0,2154000.0,1502277.8333333333,69.75,1437553.9166666667,66.74166666666666,64723.916666666664,4.3
Iowa,1990,49020.2,2781018,17627,19.0,2088455.1666666667,1453632.6666666667,69.61666666666666,1389010.5833333333,66.49166666666666,64622.083333333336,4.441666666666666
Iowa,1991,50210.9,2797613,17948,19.0,2104403.1666666665,1471258.4166666667,69.90833333333333,1402228.3333333333,66.64166666666667,69030.08333333333,4.691666666666666
Iowa,1992,53763.2,2818401,19076,19.0,2124507.1666666665,1525113.4166666667,71.78333333333333,1456746.5,68.55833333333334,68366.91666666667,4.483333333333333
Iowa,1993,54005.6,2836972,19036,19.0,2142777.6666666665,1555878.5,72.60833333333333,1491548.25,69.60000000000001,64330.25,4.141666666666667
Iowa,1994,58888.9,2850746,20657,19.0,2159048.1666666665,1575207.0833333333,72.94166666666666,1518461.0833333333,70.325,56746.0,3.6
Iowa,1996,66724.7,2880000,23168,19.0,2192255.8333333335,1609770.9166666667,73.41666666666667,1551941.0,70.78333333333333,57829.916666666664,3.5833333333333335
Iowa,1997,69908.2,2891119,24180,19.0,2203776.5,1600579.5833333333,72.63333333333334,1550348.5833333333,70.35833333333333,50231.0,3.141666666666667
Iowa,1998,73147.5,2902872,25198,19.0,2213630.3333333335,1594119.3333333333,72.01666666666667,1548838.9166666667,69.97500000000001,45280.416666666664,2.841666666666667
Iowa,2000,80082.6,2929067,27341,19.0,2233091.0833333335,1594528.1666666667,71.41666666666667,1551603.8333333333,69.49166666666666,42924.333333333336,2.6833333333333336
Iowa,2001,82519.7,2931997,28145,19.0,2240136.25,1610626.4166666667,71.88333333333334,1556990.0,69.50833333333334,53636.416666666664,3.3249999999999997
Iowa,2002,84518.2,2934234,28804,19.0,2246552.8333333335,1628820.1666666667,72.50833333333334,1563947.9166666667,69.60833333333333,64872.25,4.0
Iowa,2003,86330.6,2941999,29344,19.0,2253298.4166666665,1607724.75,71.35,1536370.9166666667,68.175,71353.83333333333,4.45
Iowa,2004,93377.9,2953635,31615,19.0,2263147.6666666665,1607085.25,71.00833333333334,1534377.6666666667,67.80833333333334,72707.58333333333,4.5249999999999995
Iowa,2005,96080.0,2964454,32411,19.0,2275360.9166666665,1628542.1666666667,71.575,1558852.75,68.50833333333334,69689.41666666667,4.291666666666667
Iowa,2007,109069.0,2999212,36366,19.0,2306017.0,1662355.5,72.08333333333333,1600787.5833333333,69.425,61567.916666666664,3.716666666666667
Iowa,2008,116112.8,3016734,38490,19.0,2319606.6666666665,1682569.8333333333,72.54166666666667,1612084.8333333333,69.49166666666666,70485.0,4.183333333333334
Iowa,2009,112963.4,3032870,37246,19.0,2333605.5,1677280.5,71.88333333333334,1570157.9166666667,67.28333333333333,107122.58333333333,6.3999999999999995
Iowa,2011,125499.8,3069937,40880,19.0,2375851.3333333335,1670116.3333333333,70.3,1575940.75,66.33333333333333,94175.58333333333,5.6499999999999995
Iowa,2012,131137.0,3082570,42541,19.0,2389698.0833333335,1660358.3333333333,69.49166666666666,1576257.25,65.95,84101.08333333333,5.058333333333334
Iowa,2013,133435.1,3102253,43012,19.0,2405162.5,1676882.25,69.72500000000001,1597567.4166666667,66.425,79314.83333333333,4.7250000000000005
Iowa,2014,137733.5,3121583,44123,19.0,2420070.4166666665,1699027.75,70.20833333333333,1627046.8333333333,67.22500000000001,71980.91666666667,4.2250000000000005
Iowa,2015,142521.2,3136111,45445,19.0,2431479.5,1700631.4166666667,69.93333333333334,1637625.0833333333,67.35000000000001,63006.333333333336,3.6916666666666664
Iowa,2016,143839.9,3149432,45672,19.0,2442455.9166666665,1703087.5833333333,69.71666666666667,1641910.5833333333,67.23333333333333,61177.0,3.5749999999999997
Iowa,2018,154686.0,3171441,48775,19.0,2474799.5,1711705.3333333333,69.16666666666667,1667617.25,67.375,44088.083333333336,2.5749999999999997
Iowa,2019,158118.5,3183831,49663,19.0,2487543.6666666665,1743108.8333333333,70.08333333333333,1696718.8333333333,68.21666666666667,46390.0,2.6666666666666665
Iowa,2022,192742.4,3199693,60238,19.0,2519424.25,1716901.5833333333,68.14999999999999,1669994.5,66.28333333333333,46907.083333333336,2.7416666666666667
Iowa,2020,167778.9,3190904,52580,19.0,2499927.8333333335,1673457.5833333333,66.93333333333334,1586893.9166666667,63.49166666666667,86563.66666666667,5.2
Kansas,1988,40671.3,2461995,16520,20.0,1845666.6666666667,1275300.0,69.09166666666667,1218059.75,65.99166666666667,57240.25,4.491666666666666
Kansas,2010,113843.0,2858822,39822,20.0,2148694.5,1500469.5833333333,69.825,1396262.6666666667,64.98333333333333,104206.91666666667,6.933333333333334
Kansas,2021,172071.0,2937946,58568,20.0,2261148.4166666665,1501097.0833333333,66.38333333333334,1451446.5,64.18333333333334,49650.583333333336,3.3083333333333336
Kansas,1999,71968.6,2678338,26871,20.0,1989686.1666666667,1406817.1666666667,70.72500000000001,1357635.5,68.25,49181.666666666664,3.483333333333333
Kansas,1995,58056.3,2601007,22321,20.0,1920869.0833333333,1354093.1666666667,70.5,1295213.8333333333,67.44166666666668,58879.333333333336,4.358333333333333
Kansas,1985,35247.4,2427401,14521,20.0,1794083.3333333333,1230140.1666666667,68.56666666666666,1166966.0833333333,65.05,63174.083333333336,5.133333333333333
Kansas,2017,141311.8,2927419,48272,20.0,2227729.8333333335,1488315.5833333333,66.825,1434401.4166666667,64.38333333333334,53914.166666666664,3.6166666666666667
Kansas,2006,97838.9,2762931,35411,20.0,2080117.5,1467694.4166666667,70.575,1402924.25,67.43333333333334,64770.166666666664,4.425
Kansas,1984,33489.2,2424088,13815,20.0,1795333.3333333333,1204908.9166666667,67.125,1144848.5833333333,63.76666666666667,60060.333333333336,4.983333333333333
Kansas,1980,23879.6,2369039,10080,20.0,1739250.0,1179817.25,67.84166666666667,1127762.6666666667,64.84166666666667,52054.583333333336,4.3999999999999995
Kansas,2020,161704.7,2938124,55037,20.0,2253495.9166666665,1502639.0,66.68333333333334,1415033.75,62.800000000000004,87605.25,5.8500000000000005
Kansas,2022,177474.7,2936716,60433,20.0,2267589.3333333335,1504624.9166666667,66.36666666666666,1464725.1666666667,64.58333333333333,39899.75,2.6666666666666665
Kansas,2019,152926.2,2933747,52127,20.0,2240795.9166666665,1504585.9166666667,67.14999999999999,1455368.25,64.95833333333333,49217.666666666664,3.275
Kansas,2018,147407.4,2931572,50283,20.0,2233868.5,1493243.9166666667,66.83333333333333,1443053.8333333333,64.60000000000001,50190.083333333336,3.358333333333333
Kansas,2016,136753.6,2927230,46718,20.0,2213993.5833333335,1491806.5833333333,67.375,1431732.75,64.66666666666667,60073.833333333336,4.016666666666667
Kansas,2015,136189.1,2922671,46597,20.0,2204743.1666666665,1493864.4166666667,67.76666666666667,1431795.25,64.95833333333333,62069.166666666664,4.1499999999999995
Kansas,2014,134773.9,2911506,46290,20.0,2194459.6666666665,1494142.6666666667,68.09166666666667,1426810.4166666667,65.02499999999999,67332.25,4.508333333333334
Kansas,2013,132519.0,2901661,45670,20.0,2183614.25,1489830.4166666667,68.22500000000001,1410945.5833333333,64.61666666666666,78884.83333333333,5.3
Kansas,2012,129849.7,2891101,44914,20.0,2174286.8333333335,1490938.3333333333,68.575,1405657.4166666667,64.65833333333333,85280.91666666667,5.716666666666666
Kansas,2011,123198.9,2872476,42889,20.0,2161751.75,1497807.0,69.28333333333333,1402091.0,64.85833333333333,95716.0,6.383333333333333
Kansas,2009,111558.9,2832704,39382,20.0,2128660.6666666665,1512963.5,71.08333333333333,1408582.9166666667,66.19166666666666,104380.58333333333,6.891666666666667
Kansas,2008,115298.3,2808076,41060,20.0,2111166.0,1493765.5,70.76666666666667,1424872.5,67.5,68893.0,4.608333333333333
Kansas,2007,105082.6,2783785,37748,20.0,2096349.0,1485363.6666666667,70.85833333333333,1422267.0833333333,67.84166666666667,63096.583333333336,4.233333333333333
Kansas,2005,88784.0,2745299,32340,20.0,2067011.0,1458359.25,70.55,1384460.6666666667,66.97500000000001,73898.58333333333,5.066666666666666
Kansas,2004,84076.9,2734373,30748,20.0,2052157.4166666667,1458720.1666666667,71.09166666666667,1378209.8333333333,67.175,80510.33333333333,5.508333333333333
Kansas,2003,81768.2,2723004,30029,20.0,2041136.8333333333,1440784.0833333333,70.58333333333333,1360895.75,66.675,79888.33333333333,5.55
Kansas,2002,79285.4,2713535,29218,20.0,2028297.0,1419472.75,69.96666666666667,1347469.3333333333,66.43333333333332,72003.41666666667,5.083333333333333
Kansas,2001,78490.8,2702162,29047,20.0,2014243.25,1398345.1666666667,69.425,1338610.1666666667,66.46666666666667,59735.0,4.266666666666667
Kansas,2000,75870.8,2693681,28166,20.0,2001406.0,1402944.0,70.10833333333333,1349898.4166666667,67.45833333333333,53045.583333333336,3.775
Kansas,1998,69711.2,2660598,26201,20.0,1974711.0833333333,1399378.6666666667,70.875,1347844.0833333333,68.25833333333334,51534.583333333336,3.6750000000000003
Kansas,1997,65703.5,2635292,24932,20.0,1956819.25,1381015.3333333333,70.575,1328650.3333333333,67.90833333333333,52365.0,3.7916666666666665
Kansas,1996,61821.0,2614554,23645,20.0,1940010.8333333333,1367875.1666666667,70.5,1309756.25,67.5,58118.916666666664,4.25
Kansas,1994,55684.2,2580513,21579,20.0,1899227.25,1346083.6666666667,70.86666666666667,1281761.4166666667,67.5,64322.25,4.783333333333333
Kansas,1993,53268.1,2556547,20836,20.0,1879835.4166666667,1328630.8333333333,70.675,1262895.5,67.175,65735.33333333333,4.941666666666667
Kansas,1991,47367.3,2498722,18957,20.0,1834218.5833333333,1285621.0833333333,70.10000000000001,1228363.5833333333,66.96666666666667,57257.5,4.45
Kansas,1992,50913.1,2532394,20105,20.0,1857693.6666666667,1310337.4166666667,70.53333333333333,1250515.4166666667,67.31666666666666,59822.0,4.566666666666666
Kansas,1990,45745.1,2481349,18436,20.0,1823499.1666666667,1272618.5,69.77499999999999,1218330.5833333333,66.80833333333334,54287.916666666664,4.25
Kansas,1989,43063.2,2472838,17414,20.0,1853500.0,1279599.9166666667,69.03333333333333,1226457.75,66.18333333333332,53142.166666666664,4.1499999999999995
Kansas,1987,38509.6,2445367,15748,20.0,1831583.3333333333,1264684.3333333333,69.05,1203906.6666666667,65.73333333333333,60777.666666666664,4.816666666666666
Kansas,1986,36949.9,2432614,15189,20.0,1815416.6666666667,1249505.1666666667,68.81666666666666,1182501.6666666667,65.14166666666667,67003.5,5.358333333333333
Kansas,1983,30554.6,2415529,12649,20.0,1784416.6666666667,1194205.5833333333,66.925,1123722.1666666667,62.975,70483.41666666667,5.891666666666667
Kansas,1982,29313.5,2401207,12208,20.0,1770916.6666666667,1193634.4166666667,67.40833333333333,1118358.0,63.14166666666667,75276.41666666667,6.3
Kansas,1981,27038.4,2384853,11338,20.0,1755333.3333333333,1181509.3333333333,67.30833333333334,1130509.1666666667,64.39999999999999,51000.166666666664,4.325
Kansas,1979,21715.6,2347370,9251,20.0,1719250.0,1161399.1666666667,67.55,1125341.0833333333,65.45833333333333,36058.083333333336,3.108333333333333
Kansas,1978,19014.3,2332815,8151,20.0,1697750.0,1136135.5,66.91666666666667,1101551.5833333333,64.88333333333334,34583.916666666664,3.0416666666666665
Kansas,1977,17182.1,2317836,7413,20.0,1673666.6666666667,1109547.25,66.29166666666667,1066606.5,63.74166666666667,42940.75,3.875
Kansas,1976,15746.2,2298645,6850,20.0,1647583.3333333333,1077083.75,65.36666666666666,1032512.9166666666,62.666666666666664,44570.833333333336,4.1499999999999995
Kentucky,1980,29879.5,3664221,8154,21.0,2649750.0,1661753.9166666667,62.71666666666667,1528415.4166666667,57.699999999999996,133338.5,8.0
Kentucky,1984,41024.2,3695459,11101,21.0,2731416.6666666665,1703706.3333333333,62.375,1549160.8333333333,56.708333333333336,154545.5,9.066666666666666
Kentucky,2006,128584.1,4219239,30476,21.0,3245865.0,2026300.0,62.43333333333334,1910099.8333333333,58.84166666666667,116200.16666666667,5.7250000000000005
Kentucky,2017,180836.1,4475723,40404,21.0,3489933.6666666665,2052893.8333333333,58.81666666666666,1954818.0833333333,56.01666666666667,98075.75,4.7749999999999995
Kentucky,1985,42799.3,3694816,11584,21.0,2745500.0,1698334.25,61.85,1545615.1666666667,56.291666666666664,152719.08333333334,9.0
Kentucky,1995,74960.3,3887427,19283,21.0,2956393.75,1856887.5833333333,62.791666666666664,1756729.9166666667,59.40833333333333,100157.66666666667,5.3999999999999995
Kentucky,1999,93175.0,4018053,23189,21.0,3062200.0,1947423.8333333333,63.59166666666667,1860024.5,60.75,87399.33333333333,4.491666666666666
Kentucky,2021,232362.6,4507600,51549,21.0,3534294.5,2026866.8333333333,57.35,1937079.0,54.81666666666666,89787.83333333333,4.425
Kentucky,2010,144335.6,4349138,33187,21.0,3350085.5,2064406.6666666667,61.61666666666667,1852447.9166666667,55.300000000000004,211958.75,10.266666666666667
Kentucky,1988,50536.9,3680002,13733,21.0,2788666.6666666665,1715116.0833333333,61.49166666666667,1587440.25,56.90833333333333,127675.83333333333,7.45
Kentucky,1976,19544.4,3530443,5536,21.0,2486500.0,1493296.25,60.05833333333334,1412261.4166666667,56.800000000000004,81034.83333333333,5.416666666666667
Kentucky,1977,21933.9,3575001,6135,21.0,2538166.6666666665,1538069.0,60.59166666666667,1463584.0833333333,57.675000000000004,74484.91666666667,4.8500000000000005
Kentucky,1978,24444.0,3611382,6769,21.0,2581583.3333333335,1577516.75,61.1,1497891.3333333333,58.03333333333333,79625.41666666667,5.05
Kentucky,1979,27454.3,3643655,7535,21.0,2619666.6666666665,1613113.8333333333,61.583333333333336,1523741.5833333333,58.175000000000004,89372.25,5.533333333333334
Kentucky,1981,33220.5,3670395,9051,21.0,2674750.0,1667313.0833333333,62.333333333333336,1523832.25,56.975,143480.83333333334,8.591666666666667
Kentucky,1982,35387.1,3683449,9607,21.0,2697250.0,1683757.6666666667,62.416666666666664,1501311.9166666667,55.666666666666664,182445.75,10.825000000000001
Kentucky,1983,36765.0,3694469,9951,21.0,2720250.0,1697113.4166666667,62.39166666666667,1505964.25,55.35,191149.16666666666,11.266666666666666
Kentucky,1986,44002.1,3687805,11932,21.0,2760416.6666666665,1705292.75,61.76666666666667,1547599.3333333333,56.05833333333334,157693.41666666666,9.258333333333333
Kentucky,1987,46347.1,3683330,12583,21.0,2774583.3333333335,1702390.6666666667,61.35833333333333,1561540.5833333333,56.28333333333333,140850.08333333334,8.275
Kentucky,1989,54313.7,3677318,14770,21.0,2796750.0,1740010.75,62.208333333333336,1629376.4166666667,58.275,110634.33333333333,6.341666666666666
Kentucky,1990,57664.6,3694048,15610,21.0,2798750.9166666665,1754345.0833333333,62.68333333333334,1648289.6666666667,58.89166666666667,106055.41666666667,6.041666666666667
Kentucky,1992,65508.4,3765469,17397,21.0,2856435.0,1777316.0,62.225,1654949.8333333333,57.93333333333334,122366.16666666667,6.891666666666667
Kentucky,1991,60894.9,3722328,16359,21.0,2827754.3333333335,1760313.9166666667,62.25833333333333,1631374.1666666667,57.69166666666666,128939.75,7.316666666666666
Kentucky,1993,68068.6,3812206,17855,21.0,2894782.4166666665,1800427.8333333333,62.199999999999996,1688840.75,58.333333333333336,111587.08333333333,6.191666666666666
Kentucky,1994,71532.5,3849088,18584,21.0,2924296.4166666665,1828259.5833333333,62.51666666666667,1730309.5833333333,59.175000000000004,97950.0,5.3500000000000005
Kentucky,1996,79482.5,3919535,20279,21.0,2986241.25,1873463.3333333333,62.73333333333333,1772118.4166666667,59.333333333333336,101344.91666666667,5.383333333333333
Kentucky,1997,84466.3,3952747,21369,21.0,3005921.8333333335,1910618.0833333333,63.55833333333334,1811229.25,60.25,99388.83333333333,5.2250000000000005
Kentucky,1998,89403.1,3985390,22433,21.0,3034769.25,1923636.5,63.4,1836923.4166666667,60.53333333333333,86713.08333333333,4.508333333333334
Kentucky,2000,100475.1,4049021,24815,21.0,3086152.6666666665,1957631.6666666667,63.416666666666664,1876384.6666666667,60.78333333333333,81247.0,4.141666666666667
Kentucky,2001,103997.8,4068132,25564,21.0,3106382.0,1953221.4166666667,62.86666666666667,1851577.5833333333,59.625,101643.83333333333,5.208333333333333
Kentucky,2002,106551.9,4089875,26053,21.0,3129416.75,1945028.6666666667,62.15,1832434.75,58.55833333333334,112593.91666666667,5.791666666666667
Kentucky,2003,109765.9,4117170,26661,21.0,3156144.0833333335,1965518.25,62.26666666666666,1843910.1666666667,58.43333333333334,121608.08333333333,6.191666666666666
Kentucky,2004,116214.1,4146101,28030,21.0,3176063.0,1970014.3333333333,62.025000000000006,1861669.75,58.60833333333334,108344.58333333333,5.5
Kentucky,2005,121734.5,4182742,29104,21.0,3207182.9166666665,1991368.3333333333,62.09166666666667,1874755.1666666667,58.458333333333336,116613.16666666667,5.875
Kentucky,2007,134209.9,4256672,31529,21.0,3274538.8333333335,2035511.8333333333,62.15,1926147.75,58.81666666666666,109364.08333333333,5.366666666666667
Kentucky,2008,140837.7,4289878,32830,21.0,3307860.25,2038822.1666666667,61.65,1905795.1666666667,57.625,133027.0,6.5249999999999995
Kentucky,2009,138999.7,4317074,32198,21.0,3328975.5,2065194.5833333333,62.041666666666664,1842690.3333333333,55.36666666666667,222504.25,10.766666666666666
Kentucky,2011,151379.9,4374212,34607,21.0,3371492.5,2061205.6666666667,61.14166666666667,1868146.1666666667,55.40833333333333,193059.5,9.375
Kentucky,2012,156564.9,4394010,35631,21.0,3389582.5833333335,2060292.0,60.78333333333333,1891236.5833333333,55.791666666666664,169055.41666666666,8.2
Kentucky,2013,157905.4,4415821,35759,21.0,3411412.9166666665,2056652.0833333333,60.291666666666664,1893497.0833333333,55.50833333333333,163155.0,7.916666666666667
Kentucky,2014,164862.1,4428679,37226,21.0,3427723.25,2006478.8333333333,58.53333333333333,1877629.9166666667,54.775,128848.91666666667,6.416666666666667
Kentucky,2015,172269.4,4443606,38768,21.0,3443533.5,1979616.6666666667,57.48333333333333,1876193.8333333333,54.49166666666667,103422.83333333333,5.233333333333333
Kentucky,2016,175275.6,4457599,39321,21.0,3459892.0833333335,2015973.5,58.25833333333333,1914499.5,55.31666666666666,101474.0,5.033333333333333
Kentucky,2018,186931.1,4487233,41658,21.0,3502247.8333333335,2052808.5,58.625,1966072.6666666667,56.13333333333333,86735.83333333333,4.2
Kentucky,2019,195419.7,4498141,43445,21.0,3515060.9166666665,2068733.5,58.85,1983691.0,56.44166666666666,85042.5,4.1
Kentucky,2022,234281.9,4511563,51929,21.0,3541105.5833333335,2049196.25,57.85833333333333,1969046.75,55.60833333333333,80149.5,3.908333333333333
Kentucky,2020,211966.8,4508155,47019,21.0,3529516.0833333335,2016742.75,57.13333333333333,1885984.1666666667,53.43333333333334,130758.58333333333,6.449999999999999
Louisiana,1988,56826.7,4288859,13250,22.0,3169833.3333333335,1926395.25,60.775,1722382.0,54.35,204013.25,10.591666666666667
Louisiana,2010,173007.3,4544800,38067,22.0,3437870.5833333335,2084849.5833333333,60.65833333333333,1928123.5833333333,56.09166666666667,156726.0,7.516666666666667
Louisiana,2021,252319.2,4627047,54531,22.0,3580021.6666666665,2074419.8333333333,57.96666666666667,1958731.0833333333,54.71666666666667,115688.75,5.6000000000000005
Louisiana,1999,101157.7,4460811,22677,22.0,3280604.8333333335,2025961.3333333333,61.75833333333333,1925176.5,58.675000000000004,100784.83333333333,4.9750000000000005
Louisiana,1995,85828.4,4378779,19601,22.0,3192666.0833333335,1963958.0833333333,61.51666666666667,1829243.25,57.30833333333333,134714.83333333334,6.866666666666667
Louisiana,1985,53604.9,4408113,12161,22.0,3199250.0,1970262.8333333333,61.6,1744865.0,54.550000000000004,225397.83333333334,11.441666666666668
