State,Year,January-December Average Temperature (Units Degrees Fahrenheit),January-December Cooling Degree Days (Units Fahrenheit Degree-Days),January-December Heating Degree Days (Units Fahrenheit Degree-Days),January-December Maximum Temperature (Units Degrees Fahrenheit),January-December Minimum Temperature (Units Degrees Fahrenheit),August Palmer Drought Severity Index (PDSI),August Palmer Hydrological Drought Index (PHDI),August Palmer Modified Drought Index (PMDI),January-December Palmer Z-Index,January-December Precipitation (Units Inches)
Colorado,2008,44.9,297.0,7453.0,59.0,30.9,0.89,0.89,0.89,0.1,17.46
Colorado,2009,45.2,186.0,7353.0,58.8,31.6,1.11,1.11,0.5,0.31,18.79
Colorado,2010,46.2,351.0,7057.0,60.0,32.3,1.37,1.37,1.37,0.15,18.19
Colorado,2011,45.4,424.0,7397.0,59.5,31.4,-0.38,-0.38,0.38,-0.14,17.62
Colorado,2012,48.3,498.0,6397.0,63.0,33.7,-6.75,-6.75,-6.75,-2.72,12.31
Colorado,2013,45.1,365.0,7480.0,58.9,31.3,-5.9,-5.9,-5.9,-0.72,18.79
Colorado,2014,46.1,261.0,7155.0,59.7,32.4,1.26,1.26,1.26,0.26,19.14
Colorado,2015,47.4,338.0,6668.0,60.8,34.1,2.77,2.77,2.7,0.72,21.73
Colorado,2016,47.3,358.0,6672.0,61.3,33.3,-0.31,1.09,0.41,-0.37,17.08
Colorado,2017,47.9,318.0,6479.0,61.8,34.1,0.67,0.67,0.67,-0.25,18.91
Colorado,2018,47.2,395.0,6872.0,61.3,33.0,-6.27,-6.27,-6.27,-2.02,14.96
Colorado,2019,45.3,372.0,7498.0,59.0,31.5,-0.42,1.51,0.87,0.37,18.91
Colorado,2020,47.3,452.0,6814.0,61.8,32.8,-5.54,-5.54,-5.54,-2.24,12.23
Colorado,2021,47.5,428.0,6723.0,61.5,33.5,-4.94,-4.94,-4.94,-1.37,17.1
Colorado,2022,46.2,444.0,7212.0,60.5,31.8,-4.95,-4.95,-4.95,-1.27,16.48
Colorado,2023,45.9,306.0,7168.0,59.6,32.2,2.47,2.47,2.47,0.46,19.05
Connecticut,1974,48.2,435.0,6276.0,58.5,37.9,-0.82,-0.82,-0.82,0.07,47.34
Connecticut,1975,49.1,483.0,6029.0,58.9,39.2,1.04,1.04,1.0,0.9,56.35
Connecticut,1976,47.6,442.0,6548.0,58.2,37.0,1.88,1.88,1.41,0.08,46.86
Connecticut,1977,48.2,466.0,6327.0,58.3,38.0,-0.71,-0.71,-0.71,0.58,54.44
Connecticut,1978,46.7,402.0,6790.0,57.1,36.3,-0.41,1.4,0.32,0.05,46.77
Connecticut,1979,48.8,477.0,6091.0,58.4,39.3,-0.75,1.23,0.0,0.71,56.93
Connecticut,1980,47.9,567.0,6496.0,58.5,37.4,-1.09,-1.09,-1.09,-0.66,40.33
Connecticut,1981,48.4,502.0,6334.0,58.7,38.2,-2.52,-2.52,-2.52,-0.33,41.93
Connecticut,1982,47.9,371.0,6332.0,58.5,37.3,-0.48,2.06,1.34,0.14,47.69
Connecticut,1983,49.4,593.0,6026.0,59.6,39.2,-1.42,1.49,-0.39,1.18,63.01
Connecticut,1984,49.0,500.0,6118.0,59.0,38.9,-0.74,3.41,2.51,0.49,51.45
Connecticut,1985,48.7,413.0,6115.0,58.9,38.4,1.59,-0.85,1.26,-0.3,42.42
Connecticut,1986,48.5,371.0,6124.0,58.7,38.4,1.25,1.25,1.25,0.05,46.7
Connecticut,1987,48.8,489.0,6119.0,59.2,38.5,-1.8,-1.8,-1.8,-0.41,44.43
Connecticut,1988,48.3,602.0,6429.0,58.9,37.8,-0.52,-1.73,-1.08,-0.39,42.94
Connecticut,1989,47.9,477.0,6445.0,58.2,37.7,3.38,3.38,3.38,1.03,57.55
Connecticut,1990,51.1,527.0,5370.0,61.3,40.9,2.57,2.57,2.57,0.62,55.68
Connecticut,1991,51.0,611.0,5477.0,61.5,40.4,1.13,1.13,1.13,-0.19,47.77
Connecticut,1992,47.7,322.0,6378.0,57.6,37.8,2.22,2.22,2.22,0.43,48.79
Connecticut,1993,48.7,594.0,6270.0,59.0,38.3,-2.55,-2.55,-2.55,-0.3,45.75
Connecticut,1994,48.9,631.0,6241.0,59.4,38.4,0.91,0.91,0.91,0.25,50.41
Connecticut,1995,49.0,594.0,6145.0,59.3,38.8,-2.9,-2.9,-2.9,-0.61,42.29
Connecticut,1996,48.4,466.0,6270.0,58.1,38.6,1.57,1.57,0.96,1.25,60.3
Connecticut,1997,48.6,441.0,6140.0,58.8,38.5,-0.32,1.27,0.33,-0.41,42.68
Connecticut,1998,51.6,582.0,5236.0,61.6,41.6,-0.53,1.57,0.77,0.17,50.08
Connecticut,1999,50.9,707.0,5614.0,61.5,40.1,-3.12,-3.12,-3.12,-0.16,49.15
Connecticut,2000,48.5,360.0,6108.0,58.6,38.5,2.02,2.02,2.0,0.32,48.74
Connecticut,2001,50.2,570.0,5672.0,60.9,39.6,-0.58,-0.58,-0.58,-0.85,39.54
Connecticut,2002,50.5,619.0,5697.0,60.7,40.2,0.02,-2.29,-1.87,-0.13,47.42
Connecticut,2003,48.2,557.0,6458.0,57.9,38.4,1.26,1.26,1.11,0.86,56.12
Connecticut,2004,48.8,477.0,6148.0,58.6,38.9,0.61,0.61,0.61,0.08,48.61
Connecticut,2005,49.5,751.0,6178.0,59.8,39.2,-1.91,-1.91,-1.91,0.37,54.68
Connecticut,2006,51.1,599.0,5416.0,61.1,41.1,3.19,3.19,3.17,0.73,57.01
Connecticut,2007,49.5,564.0,5945.0,59.8,39.2,-1.14,0.91,-0.76,-0.36,45.54
Connecticut,2008,49.7,571.0,5908.0,59.9,39.5,1.89,1.89,1.89,1.27,59.53
Connecticut,2009,48.8,444.0,6103.0,58.5,39.1,2.73,2.73,2.7,0.39,50.5
Connecticut,2010,51.4,786.0,5524.0,61.2,41.5,-2.12,-2.12,-2.12,-0.28,48.54
Connecticut,2011,50.9,712.0,5605.0,60.7,41.0,2.99,2.99,2.99,1.25,63.69
Connecticut,2012,52.5,702.0,5028.0,62.2,42.7,-2.07,-2.07,-1.92,-0.91,39.39
Connecticut,2013,49.8,644.0,5930.0,59.6,40.0,-0.16,1.76,1.41,-0.37,43.39
Connecticut,2014,48.7,529.0,6205.0,58.7,38.7,-0.94,-0.94,-0.56,-0.26,45.01
Connecticut,2015,49.8,715.0,5938.0,60.4,39.2,-2.57,-2.57,-2.57,-1.25,37.08
Connecticut,2016,51.8,796.0,5364.0,62.2,41.3,-3.85,-3.85,-3.85,-1.27,36.73
Connecticut,2017,50.9,592.0,5440.0,60.7,41.2,-2.18,-2.18,-1.83,-0.4,44.1
Connecticut,2018,50.8,822.0,5739.0,60.0,41.6,0.68,0.68,0.68,1.16,62.16
Connecticut,2019,49.8,666.0,5937.0,59.4,40.2,2.04,2.04,1.57,0.49,53.91
Connecticut,2020,51.8,772.0,5344.0,61.7,41.9,-2.31,-2.31,-2.31,-0.69,43.37
Connecticut,2021,51.4,706.0,5410.0,60.9,41.9,2.04,2.04,2.04,0.23,51.07
Connecticut,2022,51.0,774.0,5627.0,61.4,40.6,-2.92,-2.92,-2.92,-0.57,43.84
Connecticut,2023,52.2,638.0,5067.0,62.0,42.4,2.37,2.37,2.37,1.03,61.25
Delaware,1974,54.6,817.0,4693.0,65.0,44.3,-0.74,-0.74,-0.74,-0.53,38.73
Delaware,1975,55.2,958.0,4614.0,64.9,45.5,2.33,2.33,1.89,1.17,53.85
Delaware,1976,53.8,855.0,5077.0,64.4,43.1,-2.65,-2.65,-2.65,-0.5,38.43
Delaware,1977,54.6,1020.0,4942.0,64.8,44.5,-3.09,-3.09,-3.09,-0.55,40.5
Delaware,1978,52.9,897.0,5422.0,62.9,42.9,2.28,2.28,2.28,0.2,46.39
Delaware,1979,53.8,814.0,4990.0,63.4,44.2,2.85,2.85,2.85,1.45,55.64
Delaware,1980,54.1,1128.0,5176.0,64.1,44.1,-1.54,-1.54,-1.54,-0.45,38.92
Delaware,1981,53.6,889.0,5146.0,63.5,43.6,-1.73,-1.73,-1.52,-0.63,36.68
Delaware,1982,54.0,799.0,4918.0,64.0,43.9,-0.49,-0.49,-0.49,-0.27,40.01
Delaware,1983,54.9,1064.0,4832.0,64.8,45.0,1.48,1.48,0.1,0.91,53.82
Delaware,1984,54.7,935.0,4849.0,64.4,45.0,-0.72,2.34,1.41,-0.12,44.02
Delaware,1985,55.4,940.0,4559.0,65.4,45.3,-2.46,-2.46,-1.62,-0.54,39.35
Delaware,1986,55.1,1017.0,4750.0,65.2,45.0,-3.49,-3.49,-3.49,-0.98,36.99
Delaware,1987,54.9,1136.0,4901.0,65.0,44.8,-3.26,-3.26,-3.26,-0.95,36.36
Delaware,1988,54.1,1081.0,5171.0,64.5,43.7,-2.31,-2.31,-2.31,-0.55,38.8
Delaware,1989,54.2,1009.0,5091.0,63.6,44.8,3.97,3.97,3.97,1.45,56.76
Delaware,1990,57.2,966.0,3944.0,67.4,47.0,-0.15,1.6,0.79,-0.48,43.03
Delaware,1991,56.9,1176.0,4227.0,67.3,46.6,-1.95,-1.95,-1.94,-0.68,41.84
Delaware,1992,53.9,745.0,4876.0,63.5,44.4,0.64,-1.2,-0.19,-0.03,40.54
Delaware,1993,54.9,1112.0,4894.0,64.7,45.0,-1.79,-1.79,-1.79,-0.09,44.44
Delaware,1994,55.0,1010.0,4801.0,65.4,44.7,-0.3,1.53,0.72,0.2,47.31
Delaware,1995,55.1,1115.0,4808.0,65.2,45.0,-3.23,-3.23,-3.23,-0.58,38.39
Delaware,1996,54.0,893.0,5006.0,63.5,44.5,2.96,2.96,2.96,1.65,57.9
Delaware,1997,54.8,848.0,4708.0,64.9,44.7,-0.84,1.11,-0.31,-0.29,41.11
Delaware,1998,57.4,1107.0,3958.0,67.5,47.3,-1.26,-1.26,-1.26,-0.64,41.55
Delaware,1999,56.5,1154.0,4373.0,66.9,46.1,-3.71,-3.71,-3.71,-0.07,45.64
Delaware,2000,54.7,870.0,4735.0,64.8,44.7,2.1,2.1,2.1,0.4,46.19
Delaware,2001,56.1,1001.0,4349.0,66.5,45.6,1.42,1.42,1.42,-0.46,39.22
Delaware,2002,57.2,1250.0,4246.0,67.4,46.9,-3.8,-3.8,-3.8,-0.03,46.47
Delaware,2003,54.6,1001.0,4940.0,64.0,45.2,3.7,3.7,3.7,1.6,57.82
Delaware,2004,55.8,1088.0,4589.0,65.3,46.4,2.39,2.39,1.78,-0.05,44.71
Delaware,2005,55.7,1273.0,4746.0,65.5,45.9,-0.64,0.92,-0.09,0.31,46.87
Delaware,2006,57.3,1129.0,4006.0,67.5,47.2,1.25,1.25,0.1,0.23,46.76
Delaware,2007,56.3,1221.0,4477.0,66.4,46.1,-2.25,-2.25,-2.25,-0.94,38.4
Delaware,2008,56.3,1123.0,4407.0,66.6,46.0,-2.45,-2.45,-2.45,-0.35,42.61
Delaware,2009,55.4,980.0,4608.0,64.8,46.0,1.95,1.95,1.95,1.2,55.94
Delaware,2010,56.7,1491.0,4584.0,66.5,46.9,-3.0,-3.0,-3.0,-0.86,40.56
Delaware,2011,57.4,1352.0,4252.0,67.4,47.4,-1.98,-1.98,-0.37,-0.31,44.56
Delaware,2012,58.5,1337.0,3850.0,68.6,48.4,0.06,-3.63,-3.5,-0.96,39.32
Delaware,2013,55.8,1092.0,4578.0,65.2,46.4,3.07,3.07,3.07,0.78,50.75
Delaware,2014,54.7,1018.0,4911.0,64.6,44.9,-0.48,1.13,0.17,0.01,45.0
Delaware,2015,56.4,1292.0,4480.0,66.2,46.6,-0.66,0.75,-0.38,0.01,46.27
Delaware,2016,57.4,1358.0,4236.0,67.2,47.5,0.27,0.27,-0.54,0.06,45.67
Delaware,2017,57.6,1167.0,4034.0,67.1,48.1,1.97,1.97,1.97,-0.2,44.53
Delaware,2018,57.1,1393.0,4472.0,66.3,48.0,1.52,1.52,1.38,1.43,60.02
Delaware,2019,57.5,1375.0,4347.0,67.2,47.7,-0.78,1.16,-0.05,-0.64,41.02
Delaware,2020,58.0,1256.0,3999.0,67.7,48.3,1.28,1.28,1.28,0.87,55.92
Delaware,2021,57.4,1254.0,4164.0,67.2,47.6,-0.51,1.49,0.42,-0.62,40.9
Delaware,2022,56.5,1265.0,4481.0,66.6,46.5,-2.83,-2.83,-2.83,-0.56,41.27
Delaware,2023,57.9,1093.0,3825.0,67.8,47.9,0.11,-1.78,-1.24,-0.25,44.17
Florida,1974,70.9,3282.0,573.0,82.0,59.8,1.42,1.42,1.42,-0.51,48.5
Florida,1975,71.2,3442.0,575.0,82.0,60.4,1.01,1.01,0.42,0.24,55.15
Florida,1976,69.0,2961.0,861.0,80.0,58.0,-0.92,0.75,-0.65,0.24,51.63
Florida,1977,69.4,3154.0,969.0,80.6,58.3,-2.7,-2.7,-2.48,-0.67,48.0
Florida,1978,69.7,3272.0,922.0,80.5,59.0,-0.17,1.71,1.41,-0.04,53.33
Florida,1979,69.9,3246.0,833.0,80.5,59.2,0.61,0.61,-0.87,0.64,59.86
Florida,1980,69.9,3257.0,874.0,80.8,59.1,-1.52,-1.52,-1.52,-0.44,49.29
Florida,1981,69.3,3169.0,1046.0,81.0,57.5,-3.23,-3.23,-2.54,-1.11,44.47
Florida,1982,71.5,3467.0,510.0,81.9,61.1,2.07,2.07,1.67,0.72,61.32
Florida,1983,69.3,3110.0,885.0,79.6,58.9,1.57,1.57,-0.21,1.25,64.89
Florida,1984,70.0,3091.0,722.0,80.8,59.2,-0.57,2.08,1.32,-0.26,49.34
Florida,1985,70.8,3453.0,790.0,81.6,60.0,0.75,-2.02,-1.04,-0.37,52.34
Florida,1986,71.5,3493.0,608.0,82.1,60.8,-1.82,-1.82,-1.71,-0.65,52.36
Florida,1987,70.2,3240.0,742.0,80.8,59.5,-2.9,-2.9,-2.9,-0.34,52.81
Florida,1988,69.7,3177.0,799.0,80.6,58.8,-1.26,-1.26,-0.81,-0.11,52.54
Florida,1989,71.0,3466.0,677.0,81.9,60.0,-2.03,-2.03,-2.03,-0.45,48.7
Florida,1990,72.5,3725.0,432.0,83.6,61.4,-2.53,-2.53,-2.53,-1.74,42.61
Florida,1991,71.8,3630.0,549.0,81.9,61.6,-0.19,2.94,2.65,0.58,62.61
Florida,1992,70.3,3213.0,675.0,80.6,59.9,0.78,0.78,0.78,0.37,56.18
Florida,1993,70.3,3300.0,746.0,81.0,59.6,-3.08,-3.08,-3.08,-0.63,49.91
Florida,1994,71.6,3563.0,537.0,81.5,61.5,1.41,1.41,1.41,1.0,64.78
Florida,1995,70.8,3501.0,779.0,81.2,60.4,2.39,2.39,2.39,0.57,59.1
Florida,1996,69.9,3213.0,800.0,80.7,59.0,-0.85,0.98,-0.33,0.12,53.96
Florida,1997,71.1,3460.0,580.0,81.6,60.7,-0.27,0.61,-0.14,0.73,59.65
Florida,1998,72.5,3820.0,561.0,82.8,62.2,-4.17,-4.17,-4.17,-0.5,57.05
Florida,1999,71.2,3433.0,631.0,82.2,60.1,-2.73,-2.73,-2.73,-0.45,49.69
Florida,2000,70.6,3347.0,722.0,82.1,59.1,-5.18,-5.18,-5.18,-1.78,40.29
Florida,2001,70.9,3371.0,636.0,81.7,60.1,-2.71,-2.71,-1.69,-0.44,52.21
Florida,2002,71.3,3599.0,687.0,81.8,60.8,1.11,-0.98,0.63,0.36,58.49
Florida,2003,70.9,3558.0,774.0,81.2,60.5,3.07,3.07,3.07,0.4,58.77
Florida,2004,70.8,3429.0,711.0,81.4,60.3,0.79,-0.97,0.21,0.05,57.22
Florida,2005,70.8,3413.0,706.0,81.0,60.7,-0.1,2.12,1.86,0.62,59.48
Florida,2006,71.4,3479.0,607.0,82.5,60.3,-3.89,-3.89,-3.89,-1.95,41.0
Florida,2007,71.8,3630.0,559.0,82.4,61.1,-6.22,-6.22,-6.22,-1.83,43.72
Florida,2008,70.8,3371.0,635.0,81.5,60.2,-1.15,-1.15,1.35,-0.27,53.13
Florida,2009,71.2,3571.0,706.0,81.7,60.7,-0.7,0.73,-0.47,-0.11,53.77
Florida,2010,69.2,3359.0,1279.0,80.1,58.3,-1.62,-1.62,-1.62,-0.88,48.12
Florida,2011,71.7,3675.0,615.0,82.8,60.6,-5.14,-5.14,-5.14,-1.39,46.77
Florida,2012,71.9,3549.0,547.0,82.4,61.4,2.12,-1.41,1.24,-0.37,55.09
Florida,2013,71.7,3606.0,546.0,81.8,61.6,2.66,2.66,2.66,0.23,56.87
Florida,2014,70.6,3443.0,722.0,81.1,60.1,-1.05,-1.05,-1.05,0.55,59.13
Florida,2015,73.4,4150.0,484.0,83.2,63.6,-1.6,-1.6,-1.32,-0.81,52.86
Florida,2016,72.5,3845.0,561.0,82.8,62.1,-1.04,-1.04,-0.87,-0.48,53.41
Florida,2017,72.8,3879.0,451.0,83.2,62.5,1.87,-0.65,1.76,0.02,58.63
Florida,2018,72.3,3831.0,593.0,82.3,62.2,2.1,2.1,2.1,0.43,60.52
Florida,2019,73.2,4054.0,497.0,83.3,63.1,-0.88,-0.88,-0.08,-0.82,52.1
Florida,2020,73.2,4071.0,493.0,83.2,63.2,0.5,-1.5,-0.56,-0.06,57.98
Florida,2021,72.2,3758.0,505.0,82.2,62.2,1.32,1.32,1.32,-0.02,55.38
Florida,2022,72.5,3903.0,526.0,82.8,62.2,-0.37,-0.97,-0.71,-0.26,54.77
Florida,2023,73.2,4006.0,431.0,83.4,62.9,-1.51,-1.51,-1.1,-0.3,54.15
Georgia,1974,63.8,1405.0,2640.0,75.8,51.9,1.6,1.6,1.06,0.38,50.51
Georgia,1975,63.7,1520.0,2797.0,75.1,52.4,3.09,3.09,2.85,1.31,61.35
Georgia,1976,61.5,1259.0,3366.0,73.7,49.3,1.77,1.77,1.41,1.0,55.61
Georgia,1977,62.9,1780.0,3336.0,74.9,50.8,-0.03,-2.4,-2.38,-0.47,48.18
Georgia,1978,62.6,1699.0,3369.0,74.5,50.6,-0.63,-0.63,-0.63,-0.74,42.88
Georgia,1979,62.3,1419.0,3212.0,73.7,50.8,1.39,1.39,1.18,0.86,55.68
Georgia,1980,63.0,1818.0,3312.0,74.8,51.2,-2.55,-2.55,-2.55,-0.54,47.07
Georgia,1981,62.4,1583.0,3364.0,74.7,50.0,-3.51,-3.51,-3.36,-0.98,42.09
Georgia,1982,63.9,1519.0,2806.0,75.2,52.7,0.63,0.63,0.63,0.31,53.28
Georgia,1983,61.9,1527.0,3413.0,73.4,50.5,-1.94,-1.94,-1.94,0.56,56.54
Georgia,1984,63.3,1496.0,2913.0,75.4,51.3,-0.12,2.49,2.28,-0.05,48.0
Georgia,1985,63.8,1605.0,2910.0,75.1,52.4,1.06,-1.13,0.35,-0.19,47.08
Georgia,1986,65.0,1864.0,2711.0,76.7,53.4,-3.75,-3.75,-3.42,-1.17,42.5
Georgia,1987,63.3,1707.0,3101.0,75.0,51.5,-2.14,-2.14,-2.14,-0.71,44.99
Georgia,1988,62.4,1528.0,3265.0,74.5,50.3,-3.52,-3.52,-3.52,-0.59,43.65
Georgia,1989,63.2,1467.0,2987.0,74.5,52.0,2.27,2.27,2.14,0.9,55.32
Georgia,1990,65.7,1753.0,2365.0,78.0,53.3,-2.91,-2.91,-2.91,-0.94,44.85
Georgia,1991,64.5,1691.0,2678.0,75.4,53.7,3.54,3.54,3.54,0.76,57.84
Georgia,1992,62.7,1347.0,3003.0,73.7,51.8,1.79,1.79,1.79,1.25,58.74
Georgia,1993,63.2,1754.0,3189.0,74.8,51.6,-3.06,-3.06,-3.06,-0.63,45.86
Georgia,1994,63.6,1441.0,2776.0,74.6,52.6,2.97,2.97,2.97,1.39,61.23
Georgia,1995,63.5,1684.0,3034.0,74.9,52.1,0.42,0.91,-0.82,-0.04,49.67
Georgia,1996,62.7,1540.0,3230.0,74.4,50.9,0.04,-1.39,-1.25,-0.2,48.7
Georgia,1997,63.2,1410.0,2925.0,74.4,52.0,0.07,0.07,-0.6,0.92,57.29
Georgia,1998,65.7,1990.0,2525.0,76.9,54.5,-2.52,-2.52,-2.52,-0.33,52.9
Georgia,1999,64.5,1691.0,2662.0,76.6,52.3,-3.3,-3.3,-3.3,-1.07,40.86
Georgia,2000,63.4,1694.0,3059.0,75.6,51.1,-4.98,-4.98,-4.98,-1.03,41.38
Georgia,2001,63.9,1521.0,2701.0,75.9,52.0,-1.58,-1.58,-0.68,-0.78,41.8
Georgia,2002,64.4,1845.0,2839.0,75.8,52.9,-4.1,-4.1,-4.1,-0.35,49.72
Georgia,2003,63.3,1534.0,2931.0,74.3,52.3,4.27,4.27,4.27,1.01,57.23
Georgia,2004,64.0,1685.0,2783.0,75.1,52.8,0.39,-1.49,-0.71,0.27,52.16
Georgia,2005,63.8,1693.0,2869.0,74.9,52.6,3.91,3.91,3.91,0.59,54.74
Georgia,2006,64.6,1745.0,2657.0,76.8,52.3,-3.62,-3.62,-3.62,-1.31,39.0
Georgia,2007,64.8,1865.0,2628.0,77.0,52.6,-4.6,-4.6,-4.6,-1.55,38.07
Georgia,2008,63.5,1633.0,2973.0,75.3,51.7,-2.67,-2.67,-1.68,-0.33,46.99
Georgia,2009,63.4,1622.0,3004.0,74.3,52.5,0.17,-0.92,-0.52,1.04,61.48
Georgia,2010,63.0,2044.0,3467.0,74.9,51.1,-1.65,-1.65,-1.65,-0.89,43.04
Georgia,2011,64.6,1887.0,2771.0,76.9,52.4,-5.27,-5.27,-5.27,-1.51,40.11
Georgia,2012,65.5,1803.0,2341.0,77.1,53.9,-3.45,-3.45,-2.84,-1.08,42.02
Georgia,2013,63.4,1471.0,2948.0,74.1,52.7,5.09,5.09,5.09,1.54,63.49
Georgia,2014,63.0,1625.0,3191.0,74.6,51.3,-1.33,0.67,-1.19,0.08,51.41
Georgia,2015,65.3,1852.0,2573.0,76.0,54.6,0.15,-1.22,-0.91,0.11,55.74
Georgia,2016,65.8,2078.0,2544.0,77.7,53.9,-2.94,-2.94,-2.94,-1.46,40.9
Georgia,2017,65.8,1733.0,2265.0,77.1,54.5,1.09,-1.37,0.27,-0.02,49.8
Georgia,2018,65.1,1999.0,2798.0,75.9,54.3,1.62,1.62,1.62,0.9,60.8
Georgia,2019,66.2,2095.0,2457.0,77.7,54.8,-2.17,-2.17,-2.17,-0.74,47.89
Georgia,2020,65.6,1786.0,2403.0,76.5,54.7,1.61,1.61,0.84,0.76,60.46
Georgia,2021,64.6,1658.0,2502.0,75.8,53.4,2.83,2.83,2.83,0.94,57.14
Georgia,2022,64.8,1815.0,2682.0,76.6,52.9,-1.42,-1.42,-1.19,-0.72,45.83
Georgia,2023,65.6,1740.0,2281.0,77.1,54.1,1.07,1.07,1.07,0.05,51.78
Idaho,1974,43.0,409.0,7103.0,55.0,31.0,-1.92,-1.92,-1.92,-0.55,22.67
Idaho,1975,41.2,384.0,7717.0,52.0,30.4,2.68,2.68,2.68,1.41,29.12
Idaho,1976,42.1,315.0,7417.0,54.3,29.9,2.52,2.52,2.52,-0.39,20.29
Idaho,1977,43.0,433.0,7170.0,54.8,31.2,0.88,-3.37,-2.08,-0.7,24.01
Idaho,1978,42.4,298.0,7209.0,53.7,31.0,1.86,1.86,1.86,0.02,23.24
Idaho,1979,42.4,442.0,7385.0,54.6,30.1,-1.87,-1.87,-1.43,-0.88,19.85
Idaho,1980,43.3,290.0,6960.0,54.5,32.1,2.19,2.19,2.19,0.86,28.67
Idaho,1981,44.3,408.0,6679.0,56.0,32.7,1.35,1.35,0.87,0.55,26.14
Idaho,1982,41.1,344.0,7764.0,51.9,30.2,3.2,3.2,3.2,1.51,30.55
Idaho,1983,42.9,342.0,7058.0,53.5,32.3,5.1,5.1,5.1,1.69,31.41
Idaho,1984,40.8,399.0,7963.0,51.6,29.9,5.6,5.6,5.6,1.44,27.35
Idaho,1985,39.7,430.0,8540.0,51.7,27.7,-2.36,-2.36,-2.36,-0.33,20.14
Idaho,1986,44.1,435.0,6805.0,55.7,32.5,-0.82,0.95,-0.42,0.12,25.08
Idaho,1987,44.5,372.0,6542.0,57.1,31.9,-2.24,-2.24,-1.69,-1.5,18.42
Idaho,1988,44.2,484.0,6829.0,56.5,31.8,-4.18,-4.18,-4.18,-0.99,20.49
Idaho,1989,42.8,419.0,7348.0,54.5,31.0,-1.92,-1.92,-1.16,-0.56,20.96
Idaho,1990,43.5,517.0,7013.0,55.5,31.4,-0.92,-0.92,0.48,-0.27,23.41
Idaho,1991,43.3,481.0,7137.0,54.9,31.6,-0.25,1.25,0.8,-0.06,22.42
Idaho,1992,45.0,427.0,6439.0,57.1,32.8,-3.65,-3.65,-3.65,-1.47,18.96
Idaho,1993,40.9,168.0,7732.0,52.2,29.6,4.0,4.0,4.0,0.61,24.08
Idaho,1994,44.3,572.0,6799.0,56.4,32.2,-3.79,-3.79,-3.79,-1.01,20.39
Idaho,1995,43.7,309.0,6770.0,54.9,32.4,4.07,4.07,4.07,1.7,31.11
Idaho,1996,43.2,423.0,7054.0,54.8,31.5,2.14,2.14,0.19,1.0,32.1
Idaho,1997,43.2,406.0,6930.0,54.7,31.7,3.22,3.22,3.22,0.42,25.28
Idaho,1998,44.3,581.0,6727.0,55.5,33.2,3.02,3.02,2.84,0.88,28.95
Idaho,1999,43.6,373.0,6875.0,55.7,31.5,0.39,1.96,1.57,-0.17,22.64
Idaho,2000,43.9,486.0,6902.0,55.8,32.1,-3.3,-3.3,-3.3,-0.85,20.89
Idaho,2001,44.2,552.0,6851.0,56.5,32.0,-4.36,-4.36,-4.36,-1.34,19.13
Idaho,2002,43.0,482.0,7158.0,55.0,31.0,-2.99,-2.99,-2.99,-0.98,18.98
Idaho,2003,45.4,654.0,6421.0,57.3,33.5,-3.19,-3.19,-3.19,-0.87,22.56
Idaho,2004,44.2,451.0,6736.0,55.6,32.7,1.33,-1.24,0.6,-0.12,23.18
Idaho,2005,43.6,435.0,7008.0,55.5,31.6,1.34,1.34,0.83,0.15,24.58
Idaho,2006,44.2,578.0,6797.0,56.3,32.1,-1.82,-1.82,-1.82,0.06,26.38
Idaho,2007,44.8,646.0,6706.0,57.1,32.5,-4.07,-4.07,-4.07,-1.2,19.56
Idaho,2008,42.5,453.0,7339.0,54.7,30.3,-1.71,-1.71,-1.32,-0.42,21.97
Idaho,2009,42.8,475.0,7270.0,54.7,31.0,2.22,2.22,2.22,0.28,22.88
Idaho,2010,43.3,340.0,6933.0,54.7,31.9,2.41,2.41,2.41,0.69,26.14
Idaho,2011,42.4,435.0,7401.0,54.0,30.8,-0.2,3.29,2.99,0.54,24.69
Idaho,2012,45.1,579.0,6494.0,57.3,32.9,-0.86,-0.86,-0.86,-0.09,25.71
Idaho,2013,43.7,657.0,7187.0,55.8,31.7,-2.84,-2.84,-2.84,-1.3,17.64
Idaho,2014,45.1,540.0,6491.0,56.8,33.4,-1.77,-1.77,-0.81,-0.21,26.47
Idaho,2015,46.4,609.0,6103.0,58.3,34.4,-2.68,-2.68,-2.68,-0.85,22.52
Idaho,2016,45.1,455.0,6429.0,56.8,33.4,-3.01,-3.01,-3.01,-0.21,24.88
Idaho,2017,44.3,615.0,6985.0,55.8,32.7,-1.86,0.62,-1.79,0.43,28.83
Idaho,2018,44.5,541.0,6646.0,56.2,32.8,-1.37,-1.37,-1.37,-0.59,21.88
Idaho,2019,43.0,453.0,7132.0,54.4,31.6,-0.82,-0.82,-0.82,-0.06,23.41
Idaho,2020,44.3,487.0,6661.0,56.5,32.2,-0.4,0.63,-0.24,-0.39,22.19
Idaho,2021,45.4,728.0,6479.0,57.4,33.4,-4.64,-4.64,-4.64,-1.28,21.01
Idaho,2022,43.5,718.0,7280.0,55.7,31.4,-1.58,-1.58,-0.33,-0.4,22.04
Idaho,2023,43.9,561.0,6897.0,55.4,32.4,0.59,-0.6,0.54,-0.42,22.14
Illinois,1974,51.6,673.0,6282.0,61.4,41.8,3.25,3.25,2.7,0.55,41.66
