State,Year,January-December Maximum Temperature (Units Degrees Fahrenheit)
Washington,1986,56.9
Washington,1987,58.6
Washington,1988,57.2
Washington,1989,56.2
Washington,1990,57.0
Washington,1991,56.8
Washington,1992,58.6
Washington,1993,54.9
Washington,1994,57.8
Washington,1995,57.1
Washington,1996,55.2
Washington,1997,56.4
Washington,1998,58.1
Washington,1999,56.6
Washington,2000,55.8
Washington,2001,56.6
Washington,2002,56.9
Washington,2003,58.2
Washington,2004,58.0
Washington,2005,57.2
Washington,2006,57.6
Washington,2007,56.5
Washington,2008,55.6
Washington,2009,56.3
Washington,2010,56.2
Washington,2011,55.0
Washington,2012,56.7
Washington,2013,56.8
Washington,2014,58.0
Washington,2015,60.0
Washington,2016,58.0
Washington,2017,56.4
Washington,2018,57.7
Washington,2019,55.9
Washington,2020,57.8
Washington,2021,58.2
Washington,2022,56.9
Washington,2023,58.0
West Virginia,1974,62.7
West Virginia,1975,62.9
West Virginia,1976,61.6
West Virginia,1977,62.1
West Virginia,1978,60.7
West Virginia,1979,60.7
West Virginia,1980,61.4
West Virginia,1981,61.2
West Virginia,1982,62.9
West Virginia,1983,62.2
West Virginia,1984,62.4
West Virginia,1985,62.5
West Virginia,1986,63.2
West Virginia,1987,63.7
West Virginia,1988,63.0
West Virginia,1989,61.5
West Virginia,1990,65.3
West Virginia,1991,65.0
West Virginia,1992,61.6
West Virginia,1993,62.7
West Virginia,1994,63.2
West Virginia,1995,62.5
West Virginia,1996,61.3
West Virginia,1997,61.8
West Virginia,1998,65.0
West Virginia,1999,65.2
West Virginia,2000,62.9
West Virginia,2001,64.2
West Virginia,2002,64.2
West Virginia,2003,61.7
West Virginia,2004,63.2
West Virginia,2005,63.6
West Virginia,2006,64.0
West Virginia,2007,64.8
West Virginia,2008,63.0
West Virginia,2009,62.3
West Virginia,2010,62.8
West Virginia,2011,64.1
West Virginia,2012,65.7
West Virginia,2013,62.0
West Virginia,2014,61.7
West Virginia,2015,64.1
West Virginia,2016,65.3
West Virginia,2017,64.8
West Virginia,2018,63.3
West Virginia,2019,65.2
West Virginia,2020,64.6
West Virginia,2021,64.5
West Virginia,2022,63.7
West Virginia,2023,65.3
Wisconsin,1974,52.5
Wisconsin,1975,53.1
Wisconsin,1976,53.4
Wisconsin,1977,53.5
Wisconsin,1978,51.8
Wisconsin,1979,50.6
Wisconsin,1980,52.6
Wisconsin,1981,53.9
Wisconsin,1982,51.7
Wisconsin,1983,52.8
Wisconsin,1984,53.4
Wisconsin,1985,51.9
Wisconsin,1986,53.4
Wisconsin,1987,56.8
Wisconsin,1988,54.9
Wisconsin,1989,52.2
Wisconsin,1990,55.3
Wisconsin,1991,54.0
Wisconsin,1992,52.3
Wisconsin,1993,51.4
Wisconsin,1994,53.5
Wisconsin,1995,52.7
Wisconsin,1996,50.7
Wisconsin,1997,52.5
Wisconsin,1998,57.4
Wisconsin,1999,56.0
Wisconsin,2000,54.2
Wisconsin,2001,55.6
Wisconsin,2002,54.5
Wisconsin,2003,54.0
Wisconsin,2004,53.8
Wisconsin,2005,55.6
Wisconsin,2006,56.1
Wisconsin,2007,55.1
Wisconsin,2008,52.4
Wisconsin,2009,52.8
Wisconsin,2010,55.8
Wisconsin,2011,54.0
Wisconsin,2012,58.2
Wisconsin,2013,51.9
Wisconsin,2014,50.2
Wisconsin,2015,54.9
Wisconsin,2016,55.8
Wisconsin,2017,54.5
Wisconsin,2018,53.1
Wisconsin,2019,51.7
Wisconsin,2020,54.8
Wisconsin,2021,56.2
Wisconsin,2022,53.1
Wisconsin,2023,56.3
Wyoming,1974,54.5
Wyoming,1975,52.0
Wyoming,1976,54.6
Wyoming,1977,55.2
Wyoming,1978,52.2
Wyoming,1979,53.0
Wyoming,1980,54.7
Wyoming,1981,56.7
Wyoming,1982,52.0
Wyoming,1983,52.9
Wyoming,1984,52.3
Wyoming,1985,52.4
Wyoming,1986,54.8
Wyoming,1987,55.7
Wyoming,1988,56.4
Wyoming,1989,54.3
Wyoming,1990,54.9
Wyoming,1991,54.4
Wyoming,1992,55.6
Wyoming,1993,51.2
Wyoming,1994,56.1
Wyoming,1995,54.0
Wyoming,1996,54.0
Wyoming,1997,53.8
Wyoming,1998,54.8
Wyoming,1999,56.4
Wyoming,2000,55.8
Wyoming,2001,56.4
Wyoming,2002,54.6
Wyoming,2003,55.9
Wyoming,2004,55.1
Wyoming,2005,56.0
Wyoming,2006,56.4
Wyoming,2007,56.5
Wyoming,2008,53.7
Wyoming,2009,53.8
Wyoming,2010,54.9
Wyoming,2011,53.8
Wyoming,2012,58.5
Wyoming,2013,54.5
Wyoming,2014,54.9
Wyoming,2015,57.1
Wyoming,2016,56.9
Wyoming,2017,56.0
Wyoming,2018,55.5
Wyoming,2019,52.8
Wyoming,2020,56.4
Wyoming,2021,56.9
Wyoming,2022,55.4
Wyoming,2023,54.7
