Year,State,Commodity,ACRES HARVESTED,"PRODUCTION, MEASURED IN $",YIELD,January-December Average Temperature (Units Degrees Fahrenheit),January-December Cooling Degree Days (Units Fahrenheit Degree-Days),January-December Heating Degree Days (Units Fahrenheit Degree-Days),January-December Maximum Temperature (Units Degrees Fahrenheit),January-December Minimum Temperature (Units Degrees Fahrenheit),August Palmer Drought Severity Index (PDSI),August Palmer Hydrological Drought Index (PHDI),August Palmer Modified Drought Index (PMDI),January-December Palmer Z-Index,January-December Precipitation (Units Inches)
2017,louisiana,WHEAT,13000.0,598000.0,46.0,68.7,2747.0,1166.0,78.6,58.8,4.8,4.8,4.8,0.46,64.06
2017,maryland,WHEAT,185000.0,13135000.0,71.0,56.7,1112.0,4104.0,66.5,46.9,1.58,1.58,1.58,-0.35,41.21
2017,michigan,WHEAT,425000.0,33575000.0,79.0,46.3,561.0,6225.0,55.8,36.8,2.6,2.6,2.6,1.26,39.27
2017,minnesota,WHEAT,1135000.0,75935000.0,66.9,42.6,401.0,8145.0,52.8,32.5,3.01,3.01,3.01,0.72,28.3
2017,mississippi,WHEAT,25000.0,1450000.0,58.0,65.8,2157.0,1818.0,76.6,55.0,3.46,3.46,3.46,0.4,58.93
2017,missouri,WHEAT,540000.0,36720000.0,68.0,57.2,1248.0,4291.0,68.2,46.1,2.36,2.36,2.36,-0.04,41.45
2017,montana,WHEAT,4665000.0,127430000.0,27.3,43.2,279.0,8448.0,55.4,31.0,-3.58,-3.58,-3.58,-0.5,17.43
2017,nebraska,WHEAT,1020000.0,46920000.0,46.0,50.7,1002.0,5807.0,63.4,38.0,1.64,1.64,1.23,0.43,25.34
2017,nevada,WHEAT,14000.0,1480000.0,105.7,52.2,2312.0,3101.0,65.7,38.8,1.66,1.66,1.36,0.3,11.17
2017,new jersey,WHEAT,17000.0,1088000.0,64.0,54.6,834.0,4777.0,64.3,44.9,1.27,1.27,1.27,-0.17,44.92
2017,new mexico,WHEAT,135000.0,4050000.0,30.0,56.4,1030.0,3779.0,71.7,41.1,0.54,-0.57,0.5,-0.43,14.8
2017,new york,WHEAT,125000.0,8375000.0,67.0,46.9,587.0,5605.0,56.6,37.3,2.97,2.97,2.97,0.9,47.38
2017,north carolina,WHEAT,375000.0,20625000.0,55.0,61.0,1536.0,2896.0,71.9,50.1,-0.42,0.88,0.07,-0.29,47.96
2017,north dakota,WHEAT,6260000.0,237133000.0,37.9,42.0,475.0,8828.0,53.5,30.5,-2.96,-2.96,-2.58,-1.16,12.99
2017,ohio,WHEAT,460000.0,34040000.0,74.0,53.2,733.0,5072.0,63.3,43.2,1.79,1.79,1.32,0.84,45.5
2017,oklahoma,WHEAT,2900000.0,98600000.0,34.0,61.8,1854.0,2922.0,74.0,49.6,2.27,2.27,2.27,0.21,38.61
2017,oregon,WHEAT,763000.0,48069000.0,63.0,48.0,350.0,5370.0,59.3,36.8,-1.72,0.85,-1.41,0.16,36.22
2017,pennsylvania,WHEAT,150000.0,10800000.0,72.0,50.6,667.0,5253.0,60.7,40.6,2.1,2.1,2.1,0.51,46.61
2017,south carolina,WHEAT,75000.0,3675000.0,49.0,65.1,2052.0,2089.0,76.3,53.8,-0.18,0.63,0.01,-0.25,46.57
2017,south dakota,WHEAT,1196000.0,41678000.0,34.8,46.8,694.0,7218.0,59.1,34.5,0.69,-1.28,-0.29,-0.4,17.63
2017,tennessee,WHEAT,275000.0,19250000.0,70.0,60.0,1368.0,3167.0,70.8,49.1,2.0,2.0,2.0,0.56,56.22
2017,texas,WHEAT,2350000.0,68150000.0,29.0,67.3,2944.0,1337.0,79.7,54.9,2.47,2.47,2.47,-0.16,30.28
2017,utah,WHEAT,120000.0,6240000.0,52.0,50.7,624.0,6641.0,63.7,37.7,-0.76,-0.76,-0.76,-0.25,12.83
2017,virginia,WHEAT,145000.0,9570000.0,66.0,57.3,1130.0,,68.1,46.5,-0.25,1.01,0.39,-0.47,41.56
2017,washington,WHEAT,2140000.0,142500000.0,66.6,46.8,254.0,5794.0,56.4,37.2,-1.68,0.7,-1.51,0.34,48.73
2017,west virginia,WHEAT,4000.0,276000.0,69.0,54.0,729.0,4496.0,64.8,43.2,-0.19,1.21,0.83,0.18,47.01
2017,wisconsin,WHEAT,170000.0,11560000.0,68.0,44.7,466.0,7096.0,54.5,34.9,4.89,4.89,4.89,1.15,37.57
2017,wyoming,WHEAT,105000.0,2940000.0,28.0,43.2,292.0,7895.0,56.0,30.4,-1.49,-1.49,-1.49,0.52,18.66
2018,alabama,WHEAT,110000.0,7920000.0,72.0,64.5,2247.0,2694.0,75.2,53.7,0.74,0.74,-0.45,0.56,64.4
2018,arizona,WHEAT,77000.0,7898000.0,102.6,62.3,3246.0,1733.0,76.5,48.0,-4.49,-4.49,-4.08,-1.1,11.67
2018,arkansas,WHEAT,95000.0,5225000.0,55.0,61.2,2037.0,3623.0,71.5,50.8,0.89,-0.75,0.6,0.91,64.32
2018,california,WHEAT,150000.0,12190000.0,81.3,60.1,1101.0,2546.0,72.7,47.5,-2.71,-2.71,-2.71,-0.99,18.09
2018,colorado,WHEAT,1954000.0,70504000.0,36.1,47.2,395.0,6872.0,61.3,33.0,-6.27,-6.27,-6.27,-2.02,14.96
2018,delaware,WHEAT,45000.0,3195000.0,71.0,57.1,1393.0,4472.0,66.3,48.0,1.52,1.52,1.38,1.43,60.02
2018,florida,WHEAT,10000.0,360000.0,36.0,72.3,3831.0,593.0,82.3,62.2,2.1,2.1,2.1,0.43,60.52
2018,georgia,WHEAT,70000.0,3780000.0,54.0,65.1,1999.0,2798.0,75.9,54.3,1.62,1.62,1.62,0.9,60.8
2018,idaho,WHEAT,1136000.0,104410000.0,91.9,44.5,541.0,6646.0,56.2,32.8,-1.37,-1.37,-1.37,-0.59,21.88
2018,illinois,WHEAT,560000.0,36960000.0,66.0,52.5,1096.0,6427.0,62.3,42.6,1.76,1.76,1.76,1.17,45.79
2018,indiana,WHEAT,260000.0,18460000.0,71.0,52.6,1173.0,5801.0,62.3,43.0,2.79,2.79,2.79,1.36,50.03
2018,iowa,WHEAT,6000.0,348000.0,58.0,47.5,1005.0,7259.0,57.2,37.8,2.48,2.48,2.48,1.81,45.08
2018,kansas,WHEAT,7300000.0,277400000.0,38.0,54.6,1698.0,5239.0,67.1,42.1,0.36,-2.18,-1.66,0.02,31.85
2018,kentucky,WHEAT,300000.0,19800000.0,66.0,57.0,1530.0,4466.0,67.1,46.9,2.69,2.69,2.69,1.68,63.74
2018,louisiana,WHEAT,10000.0,650000.0,65.0,67.8,3006.0,1681.0,77.7,57.9,-2.39,-2.39,-2.39,0.29,66.39
2018,maryland,WHEAT,200000.0,12600000.0,63.0,55.9,1361.0,4647.0,65.1,46.8,3.22,3.22,3.22,2.16,64.62
2018,michigan,WHEAT,470000.0,35720000.0,76.0,45.1,778.0,6854.0,54.5,35.7,1.94,1.94,1.48,0.73,36.17
2018,minnesota,WHEAT,1575000.0,92930000.0,59.0,40.6,557.0,9008.0,50.6,30.6,2.02,2.02,1.76,1.05,30.08
2018,mississippi,WHEAT,30000.0,1470000.0,49.0,64.8,2467.0,2469.0,75.3,54.2,0.1,-0.84,-0.52,0.51,66.81
2018,missouri,WHEAT,520000.0,30680000.0,59.0,55.2,1598.0,5320.0,65.8,44.6,0.55,-1.3,-0.49,0.11,43.0
2018,montana,WHEAT,5165000.0,197630000.0,38.3,41.3,171.0,8739.0,53.1,29.5,-0.44,1.21,0.45,0.41,19.98
2018,nebraska,WHEAT,1010000.0,49490000.0,49.0,48.3,1116.0,6816.0,60.1,36.4,3.23,3.23,3.23,1.6,29.22
2018,nevada,WHEAT,8000.0,900000.0,112.5,52.0,2451.0,3290.0,65.7,38.3,-4.56,-4.56,-4.56,-1.46,9.27
2018,new jersey,WHEAT,15000.0,930000.0,62.0,54.2,1077.0,5192.0,63.4,44.9,1.68,1.68,1.68,1.65,64.76
2018,new mexico,WHEAT,105000.0,1575000.0,15.0,55.5,1214.0,4264.0,70.7,40.3,-4.83,-4.83,-4.83,-1.19,12.72
2018,new york,WHEAT,95000.0,6555000.0,69.0,46.2,803.0,6038.0,55.5,36.9,1.69,1.69,1.43,1.1,48.59
2018,north carolina,WHEAT,370000.0,21090000.0,57.0,60.4,1808.0,3405.0,70.7,50.2,1.55,1.55,1.55,1.7,68.35
2018,north dakota,WHEAT,7635000.0,363483000.0,47.6,39.8,526.0,9658.0,50.9,28.7,-2.64,-2.64,-2.64,-0.26,17.77
2018,ohio,WHEAT,450000.0,33750000.0,75.0,52.2,1062.0,5765.0,61.5,42.9,2.64,2.64,2.64,1.71,50.93
2018,oklahoma,WHEAT,2500000.0,70000000.0,28.0,60.2,2139.0,3827.0,72.2,48.2,0.56,-0.82,0.13,0.66,41.01
2018,oregon,WHEAT,770000.0,51590000.0,67.0,48.4,286.0,5057.0,60.2,36.7,-3.15,-3.15,-3.15,-1.3,25.41
2018,pennsylvania,WHEAT,145000.0,9425000.0,65.0,49.8,893.0,5760.0,59.0,40.5,4.77,4.77,4.77,2.75,64.04
2018,south carolina,WHEAT,65000.0,3510000.0,54.0,64.3,2258.0,2612.0,74.9,53.6,-0.62,-0.62,-0.62,0.69,57.3
2018,south dakota,WHEAT,1628000.0,72294000.0,44.4,44.1,756.0,8202.0,55.6,32.7,1.52,1.52,1.52,1.02,23.25
2018,tennessee,WHEAT,285000.0,18525000.0,65.0,59.1,1722.0,3844.0,69.2,49.0,2.44,2.44,2.31,1.37,67.14
2018,texas,WHEAT,1750000.0,56000000.0,32.0,66.0,3015.0,1984.0,78.1,53.9,-3.69,-3.69,-3.69,0.31,33.72
2018,utah,WHEAT,103000.0,5356000.0,52.0,50.4,692.0,6725.0,63.3,37.5,-5.67,-5.67,-5.67,-1.56,11.58
2018,virginia,WHEAT,155000.0,9300000.0,60.0,56.6,1404.0,,66.5,46.6,3.03,3.03,3.03,2.14,63.53
2018,washington,WHEAT,2165000.0,153210000.0,70.8,48.1,237.0,5382.0,57.7,38.4,-2.67,-2.67,-2.67,-0.65,41.32
2018,west virginia,WHEAT,3000.0,138000.0,46.0,53.3,1070.0,5109.0,63.3,43.3,3.1,3.1,3.1,2.38,65.1
2018,wisconsin,WHEAT,200000.0,14200000.0,71.0,43.2,624.0,7797.0,53.1,33.3,3.02,3.02,3.02,1.35,39.74
2018,wyoming,WHEAT,115000.0,3910000.0,34.0,42.4,280.0,8177.0,55.5,29.4,-0.11,-0.11,0.38,-0.11,16.12
2019,alabama,WHEAT,85000.0,6120000.0,72.0,65.4,2287.0,2398.0,76.6,54.1,-1.02,-1.02,-0.91,-0.28,56.3
2019,arizona,WHEAT,35000.0,3640000.0,104.0,60.3,2975.0,2087.0,74.2,46.4,-1.91,-1.91,-1.91,0.47,14.69
2019,arkansas,WHEAT,50000.0,2600000.0,52.0,61.2,1866.0,3454.0,71.6,50.9,4.96,4.96,4.96,1.4,65.65
2019,california,WHEAT,122000.0,7244000.0,59.4,58.4,896.0,2950.0,70.4,46.4,-0.34,2.06,1.51,0.69,29.12
2019,colorado,WHEAT,2000000.0,98000000.0,49.0,45.3,372.0,7498.0,59.0,31.5,-0.42,1.51,0.87,0.37,18.91
2019,delaware,WHEAT,50000.0,3600000.0,72.0,57.5,1375.0,4347.0,67.2,47.7,-0.78,1.16,-0.05,-0.64,41.02
2019,georgia,WHEAT,50000.0,2800000.0,56.0,66.2,2095.0,2457.0,77.7,54.8,-2.17,-2.17,-2.17,-0.74,47.89
2019,idaho,WHEAT,1125000.0,98755000.0,87.8,43.0,453.0,7132.0,54.4,31.6,-0.82,-0.82,-0.82,-0.06,23.41
2019,illinois,WHEAT,550000.0,36850000.0,67.0,52.1,936.0,6430.0,61.8,42.4,4.15,4.15,4.14,1.6,49.86
2019,indiana,WHEAT,260000.0,16120000.0,62.0,52.4,1006.0,5725.0,62.4,42.4,4.27,4.27,4.15,1.08,49.52
2019,kansas,WHEAT,6700000.0,348400000.0,52.0,53.8,1464.0,5277.0,65.7,42.0,6.26,6.26,6.26,1.69,36.03
2019,kentucky,WHEAT,330000.0,25080000.0,76.0,57.5,1439.0,4190.0,68.5,46.5,4.63,4.63,4.62,1.23,61.31
2019,maryland,WHEAT,165000.0,12375000.0,75.0,56.6,1366.0,4409.0,66.4,46.7,-0.46,2.54,1.85,-0.32,42.7
2019,michigan,WHEAT,490000.0,34790000.0,71.0,43.9,634.0,6963.0,53.3,34.5,3.09,3.09,2.54,1.87,41.83
2019,minnesota,WHEAT,1400000.0,79800000.0,57.0,39.3,436.0,9326.0,48.9,29.6,3.91,3.91,3.91,2.12,35.65
2019,mississippi,WHEAT,21000.0,987000.0,47.0,65.2,2428.0,2276.0,76.0,54.5,3.28,3.28,3.28,0.93,68.06
2019,missouri,WHEAT,390000.0,24570000.0,63.0,55.0,1339.0,5182.0,65.1,44.9,4.66,4.66,4.66,1.68,53.82
2019,montana,WHEAT,5135000.0,217725000.0,42.4,39.9,147.0,9290.0,51.4,28.4,1.71,1.71,1.71,1.17,21.41
2019,nebraska,WHEAT,970000.0,55290000.0,57.0,47.5,1028.0,6863.0,59.1,35.9,8.51,8.51,8.51,2.64,31.37
2019,new jersey,WHEAT,14000.0,924000.0,66.0,54.3,1024.0,5090.0,64.0,44.5,-0.14,3.43,3.21,0.49,51.55
2019,new mexico,WHEAT,110000.0,3300000.0,30.0,54.5,1120.0,4575.0,69.2,39.7,-2.74,-2.74,-2.74,-0.32,13.38
2019,new york,WHEAT,66000.0,4158000.0,63.0,45.2,660.0,6125.0,55.2,35.4,3.2,3.2,3.15,1.03,48.22
2019,north carolina,WHEAT,225000.0,12600000.0,56.0,61.3,1808.0,3064.0,72.1,50.6,-1.16,1.39,-0.29,-0.32,51.15
2019,north dakota,WHEAT,6630000.0,321185000.0,48.4,38.0,392.0,10201.0,48.3,27.7,2.1,2.1,2.1,2.14,24.39
2019,ohio,WHEAT,385000.0,21560000.0,56.0,52.4,945.0,5571.0,62.4,42.4,4.78,4.78,4.78,0.97,46.87
2019,oklahoma,WHEAT,2750000.0,110000000.0,40.0,59.9,1979.0,3742.0,71.4,48.3,4.99,4.99,4.99,1.36,44.98
2019,oregon,WHEAT,730000.0,49640000.0,68.0,47.1,213.0,5426.0,58.2,36.0,0.28,-1.56,-0.52,-0.25,30.03
2019,pennsylvania,WHEAT,140000.0,10220000.0,73.0,49.9,817.0,5590.0,59.9,39.8,5.57,5.57,5.57,1.01,50.78
2019,south carolina,WHEAT,45000.0,2160000.0,48.0,65.0,2300.0,2336.0,76.2,53.9,-1.95,-1.95,-1.95,-0.64,46.03
2019,south dakota,WHEAT,1360000.0,65410000.0,48.1,42.3,628.0,8627.0,52.8,31.9,9.15,9.15,9.15,3.87,31.39
2019,tennessee,WHEAT,215000.0,14405000.0,67.0,59.8,1651.0,3483.0,70.7,49.0,4.55,4.55,4.55,1.28,66.92
2019,texas,WHEAT,2100000.0,71400000.0,34.0,65.9,2932.0,1879.0,78.0,53.8,-0.62,3.86,3.1,0.37,26.86
2019,utah,WHEAT,116000.0,6264000.0,54.0,47.9,508.0,7436.0,60.2,35.5,-0.69,3.87,3.04,1.42,16.94
2019,virginia,WHEAT,105000.0,6510000.0,62.0,57.5,1410.0,,68.2,46.8,3.18,3.18,2.69,0.11,46.0
2019,washington,WHEAT,2215000.0,143205000.0,64.7,46.5,185.0,5750.0,55.9,37.2,-3.09,-3.09,-3.09,-0.95,33.06
2019,wisconsin,WHEAT,150000.0,9600000.0,64.0,42.1,516.0,8025.0,51.7,32.5,4.83,4.83,4.8,2.17,44.55
2019,wyoming,WHEAT,110000.0,4730000.0,43.0,40.3,246.0,8906.0,52.8,27.8,1.86,1.86,1.86,0.96,18.34
2020,alabama,WHEAT,70000.0,5040000.0,72.0,64.9,1987.0,2284.0,75.7,54.1,2.52,2.52,2.52,1.05,68.67
2020,arizona,WHEAT,49000.0,4851000.0,99.0,62.6,3557.0,1834.0,77.7,47.5,-2.57,-2.57,-2.57,-1.2,6.56
2020,arkansas,WHEAT,75000.0,4125000.0,55.0,61.2,1604.0,3190.0,71.3,51.0,4.58,4.58,4.58,1.32,63.82
2020,california,WHEAT,92000.0,7104000.0,77.2,60.5,1206.0,2570.0,73.6,47.5,-1.83,-1.83,-1.83,-1.39,12.07
2020,colorado,WHEAT,1500000.0,40500000.0,27.0,47.3,452.0,6814.0,61.8,32.8,-5.54,-5.54,-5.54,-2.24,12.23
2020,delaware,WHEAT,55000.0,4015000.0,73.0,58.0,1256.0,3999.0,67.7,48.3,1.28,1.28,1.28,0.87,55.92
2020,georgia,WHEAT,85000.0,4675000.0,55.0,65.6,1786.0,2403.0,76.5,54.7,1.61,1.61,0.84,0.76,60.46
2020,idaho,WHEAT,1154000.0,111496000.0,96.6,44.3,487.0,6661.0,56.5,32.2,-0.4,0.63,-0.24,-0.39,22.19
2020,illinois,WHEAT,520000.0,35360000.0,68.0,53.3,951.0,5774.0,63.2,43.5,3.09,3.09,2.41,0.53,41.93
2020,indiana,WHEAT,250000.0,17500000.0,70.0,53.3,919.0,5279.0,63.3,43.3,-0.07,2.11,1.81,0.27,42.4
2020,kansas,WHEAT,6250000.0,281250000.0,45.0,55.6,1395.0,4657.0,68.3,42.9,-0.27,2.78,2.39,0.17,25.85
2020,kentucky,WHEAT,340000.0,21420000.0,63.0,57.1,1208.0,4078.0,67.6,46.7,4.54,4.54,4.54,1.27,58.11
2020,maryland,WHEAT,150000.0,10950000.0,73.0,57.2,1251.0,4021.0,66.9,47.5,1.35,1.35,1.35,0.81,52.85
2020,michigan,WHEAT,450000.0,33750000.0,75.0,46.5,699.0,6276.0,56.0,37.0,3.81,3.81,3.81,0.6,35.31
2020,minnesota,WHEAT,1360000.0,72080000.0,53.0,42.4,552.0,8310.0,52.9,32.0,1.11,3.28,2.97,-0.02,24.39
2020,mississippi,WHEAT,20000.0,960000.0,48.0,65.5,2262.0,1983.0,76.0,54.9,3.83,3.83,3.83,1.04,68.84
2020,missouri,WHEAT,360000.0,22320000.0,62.0,55.8,1222.0,4765.0,66.2,45.3,3.62,3.62,3.48,0.79,46.34
2020,montana,WHEAT,5490000.0,228680000.0,41.7,43.3,202.0,8300.0,55.6,31.0,-0.67,1.98,1.1,0.35,16.89
2020,nebraska,WHEAT,830000.0,34030000.0,41.0,50.6,1093.0,6049.0,63.6,37.5,-0.83,3.53,2.54,-0.08,18.24
2020,new jersey,WHEAT,18000.0,1206000.0,67.0,55.5,1025.0,4615.0,65.2,45.8,0.72,0.72,0.72,0.14,49.85
2020,new mexico,WHEAT,115000.0,3220000.0,28.0,56.0,1261.0,4166.0,71.6,40.4,-4.27,-4.27,-4.27,-1.68,8.35
2020,new york,WHEAT,110000.0,7260000.0,66.0,47.8,769.0,5476.0,57.6,38.1,-0.82,0.8,-0.59,-0.44,39.28
2020,north carolina,WHEAT,350000.0,21000000.0,60.0,60.8,1463.0,2904.0,71.1,50.6,2.77,2.77,2.77,1.66,66.55
2020,north dakota,WHEAT,6563000.0,312587000.0,47.6,42.3,533.0,8860.0,54.0,30.6,4.15,4.15,4.15,0.1,12.92
2020,ohio,WHEAT,490000.0,34790000.0,71.0,53.0,876.0,5250.0,62.8,43.2,-1.02,1.56,0.1,0.28,42.31
2020,oklahoma,WHEAT,2550000.0,102000000.0,40.0,60.7,1784.0,3264.0,72.8,48.7,2.83,2.83,2.56,0.69,39.21
2020,oregon,WHEAT,725000.0,46400000.0,64.0,48.8,253.0,5042.0,60.7,37.0,-1.6,-1.6,-1.07,-0.67,28.76
2020,pennsylvania,WHEAT,180000.0,12780000.0,71.0,51.2,844.0,5186.0,61.3,41.0,-1.15,1.25,-0.41,-0.21,43.26
2020,south carolina,WHEAT,95000.0,4845000.0,51.0,64.6,1957.0,2164.0,75.0,54.2,2.46,2.46,2.46,1.08,59.87
2020,south dakota,WHEAT,1345000.0,69705000.0,51.8,46.8,795.0,7376.0,59.1,34.4,6.58,6.58,6.58,0.59,16.17
2020,tennessee,WHEAT,230000.0,13570000.0,59.0,59.3,1391.0,3432.0,69.7,48.9,4.64,4.64,4.64,1.3,65.73
2020,texas,WHEAT,2000000.0,60000000.0,30.0,66.9,2961.0,1549.0,79.5,54.2,-2.48,-2.48,-2.48,-0.78,26.17
2020,utah,WHEAT,98000.0,5194000.0,53.0,50.4,653.0,6693.0,63.9,36.8,-3.81,-3.81,-3.81,-1.83,7.24
2020,virginia,WHEAT,130000.0,7800000.0,60.0,57.4,1204.0,,67.7,47.1,3.5,3.5,3.5,1.87,61.4
2020,washington,WHEAT,2295000.0,166245000.0,72.4,48.1,183.0,5416.0,57.8,38.3,0.26,-1.14,-0.33,0.08,45.25
2020,wisconsin,WHEAT,125000.0,8625000.0,69.0,44.8,605.0,7186.0,54.8,34.9,4.35,4.35,4.08,0.68,34.19
2020,wyoming,WHEAT,90000.0,2340000.0,26.0,42.8,356.0,8069.0,56.4,29.1,-2.44,-2.44,-2.44,-0.9,11.72
2021,alabama,WHEAT,110000.0,9130000.0,83.0,64.2,1889.0,2396.0,75.1,53.3,4.43,4.43,4.43,1.04,65.16
2021,arizona,WHEAT,59000.0,5310000.0,90.0,62.1,3152.0,1723.0,76.4,47.8,-3.14,-3.14,-1.4,-0.84,12.57
2021,arkansas,WHEAT,145000.0,8410000.0,58.0,61.4,1784.0,3254.0,72.0,50.7,3.1,3.1,3.1,0.06,50.23
2021,california,WHEAT,110000.0,9580000.0,87.1,60.4,1146.0,2689.0,73.1,47.6,-6.87,-6.87,-6.87,-1.47,18.93
2021,colorado,WHEAT,1880000.0,69560000.0,37.0,47.5,428.0,6723.0,61.5,33.5,-4.94,-4.94,-4.94,-1.37,17.1
2021,delaware,WHEAT,35000.0,2450000.0,70.0,57.4,1254.0,4164.0,67.2,47.6,-0.51,1.49,0.42,-0.62,40.9
2021,georgia,WHEAT,110000.0,6160000.0,56.0,64.6,1658.0,2502.0,75.8,53.4,2.83,2.83,2.83,0.94,57.14
2021,idaho,WHEAT,1132000.0,76534000.0,67.6,45.4,728.0,6479.0,57.4,33.4,-4.64,-4.64,-4.64,-1.28,21.01
2021,illinois,WHEAT,610000.0,48190000.0,79.0,53.8,1063.0,5684.0,63.6,44.0,2.01,2.01,2.01,0.53,41.01
2021,indiana,WHEAT,270000.0,22950000.0,85.0,53.5,1028.0,5273.0,63.5,43.5,1.35,1.35,1.35,0.81,45.45
2021,kansas,WHEAT,7000000.0,364000000.0,52.0,56.1,1590.0,4532.0,68.8,43.5,-0.49,0.83,-0.21,-0.1,27.25
2021,kentucky,WHEAT,350000.0,30450000.0,87.0,57.0,1259.0,4165.0,67.6,46.3,3.54,3.54,3.54,0.89,53.39
2021,maryland,WHEAT,160000.0,12640000.0,79.0,56.8,1303.0,4159.0,66.7,47.0,0.34,1.2,0.33,-0.28,41.57
2021,michigan,WHEAT,560000.0,45360000.0,81.0,47.4,762.0,6079.0,57.2,37.6,1.6,1.6,1.6,0.02,32.88
2021,minnesota,WHEAT,1160000.0,55680000.0,48.0,44.3,651.0,7826.0,55.0,33.6,-3.64,-3.64,-3.64,-1.15,23.57
2021,mississippi,WHEAT,70000.0,4130000.0,59.0,64.7,2174.0,2162.0,75.4,54.0,5.48,5.48,5.48,1.1,65.5
2021,missouri,WHEAT,490000.0,31850000.0,65.0,56.3,1378.0,4645.0,66.7,45.9,2.5,2.5,2.4,0.48,44.01
2021,montana,WHEAT,4530000.0,100610000.0,22.2,44.0,341.0,8203.0,56.7,31.2,-4.18,-4.18,-4.18,-1.82,14.31
2021,nebraska,WHEAT,840000.0,41160000.0,49.0,51.0,1173.0,5825.0,63.8,38.3,-1.02,-1.02,-0.98,-0.29,22.6
2021,new jersey,WHEAT,16000.0,1072000.0,67.0,55.1,1021.0,4757.0,64.8,45.4,1.59,1.59,1.59,0.16,47.87
2021,new mexico,WHEAT,80000.0,2880000.0,36.0,55.4,1073.0,4187.0,70.6,40.3,-3.13,-3.13,-2.89,-1.11,12.34
2021,new york,WHEAT,125000.0,9625000.0,77.0,47.7,746.0,5517.0,57.2,38.3,3.03,3.03,3.03,0.69,46.25
2021,north carolina,WHEAT,345000.0,19320000.0,56.0,60.2,1490.0,3104.0,71.1,49.3,1.05,2.53,1.92,-0.2,47.6
2021,north dakota,WHEAT,6090000.0,196195000.0,32.2,43.8,697.0,8373.0,56.2,31.4,-5.41,-5.41,-5.41,-1.37,15.63
2021,ohio,WHEAT,515000.0,43775000.0,85.0,53.2,928.0,5213.0,63.0,43.3,1.29,1.29,1.29,0.58,41.68
2021,oklahoma,WHEAT,2950000.0,115050000.0,39.0,60.8,1954.0,3346.0,72.8,48.8,2.77,2.77,2.77,0.13,33.62
2021,oregon,WHEAT,705000.0,31725000.0,45.0,49.2,372.0,5068.0,61.0,37.4,-5.24,-5.24,-5.24,-1.24,28.51
2021,pennsylvania,WHEAT,195000.0,15015000.0,77.0,51.2,844.0,5231.0,61.1,41.2,1.79,1.79,1.79,0.39,46.11
2021,south carolina,WHEAT,100000.0,5300000.0,53.0,63.7,1868.0,2373.0,74.8,52.7,0.91,1.68,1.0,-0.09,47.47
2021,south dakota,WHEAT,1290000.0,43800000.0,34.0,48.0,910.0,7036.0,60.6,35.5,-3.36,-3.36,-3.36,-0.73,18.15
2021,tennessee,WHEAT,330000.0,23430000.0,71.0,59.0,1399.0,3503.0,69.7,48.4,3.79,3.79,3.79,0.9,58.78
2021,texas,WHEAT,2000000.0,74000000.0,37.0,66.2,2816.0,1643.0,78.3,54.1,2.53,2.53,2.53,-0.18,28.79
2021,utah,WHEAT,93000.0,4278000.0,46.0,50.7,739.0,6551.0,63.7,37.7,-5.11,-5.11,-4.44,-1.13,13.55
2021,virginia,WHEAT,120000.0,8040000.0,67.0,57.1,1253.0,,67.9,46.1,-0.44,2.33,1.25,-0.44,40.86
2021,washington,WHEAT,2230000.0,87180000.0,39.1,48.3,278.0,5562.0,58.2,38.4,-3.98,-3.98,-3.98,-0.66,43.87
2021,wisconsin,WHEAT,245000.0,18375000.0,75.0,45.8,670.0,6934.0,56.2,35.4,0.96,1.53,0.84,-0.47,29.89
2021,wyoming,WHEAT,95000.0,3040000.0,32.0,43.6,413.0,7865.0,56.9,30.4,-5.66,-5.66,-5.66,-1.7,14.37
2022,alabama,WHEAT,120000.0,8640000.0,72.0,64.0,2042.0,2612.0,75.6,52.4,0.68,1.76,1.01,0.05,57.85
2022,arizona,WHEAT,84000.0,9576000.0,114.0,61.2,3187.0,2061.0,75.5,46.9,0.96,-2.8,-1.57,-0.74,12.07
2022,arkansas,WHEAT,150000.0,7950000.0,53.0,61.2,1937.0,3508.0,72.6,49.6,-0.31,-0.31,0.39,-0.07,51.69
2022,california,WHEAT,105000.0,8960000.0,85.3,60.1,1205.0,2672.0,73.3,46.8,-4.79,-4.79,-4.79,-1.36,14.1
2022,colorado,WHEAT,1430000.0,35750000.0,25.0,46.2,444.0,7212.0,60.5,31.8,-4.95,-4.95,-4.95,-1.27,16.48
2022,delaware,WHEAT,54000.0,4104000.0,76.0,56.5,1265.0,4481.0,66.6,46.5,-2.83,-2.83,-2.83,-0.56,41.27
2022,georgia,WHEAT,100000.0,5800000.0,58.0,64.8,1815.0,2682.0,76.6,52.9,-1.42,-1.42,-1.19,-0.72,45.83
2022,idaho,WHEAT,1077000.0,93515000.0,86.8,43.5,718.0,7280.0,55.7,31.4,-1.58,-1.58,-0.33,-0.4,22.04
2022,illinois,WHEAT,560000.0,44240000.0,79.0,52.1,929.0,6325.0,62.5,41.6,0.82,1.54,1.47,-0.01,37.25
2022,indiana,WHEAT,240000.0,19440000.0,81.0,52.2,986.0,5746.0,62.8,41.6,0.65,1.67,1.35,-0.34,38.18
2022,kansas,WHEAT,6600000.0,244200000.0,37.0,55.2,1671.0,5040.0,69.0,41.3,-3.35,-3.35,-3.35,-1.37,21.24
